AUTHENTICATION_BETA_REGION,- Beta=0
UI/LogMessagePanel/ShowWarningsCheckbox/Tooltip,Pokaż wiadomości ostrzeżeń /// Show Warning Messages=6565
UI/LoginDialogMessage,Łączenie...=6566
UI/LoginDialogTitle,Weryfikacja=6567
UI/Login_Control,<h/>Logowanie /// <h/>Login=6568
UI/Long,Długie /// Long=6569
UI/LookingForParty/GoodMatchParty,Gracze w tej drużynie mają zbliżony do ciebie poziom umiejętności.=6570
UI/LookingForParty/GoodMatchSolo,Ten gracz ma zbliżony do ciebie poziom umiejętności.=6571
UI/LookingForParty/InviteToPartyButton,Zaproś do drużyny=6572
UI/LookingForParty/JoinPartyButton,Zaproście mnie=6573
UI/LookingForParty/NoParties,Nie znaleziono graczy szukających drużyny.<n/><n/>Kliknij pole powyżej, aby powiadomić innych graczy, że szukasz drużyny. /// No players who are looking for a party were found.<n/><n/>Click the box above to let other players know you are looking for a party.=6574
UI/LookingForParty/PartyFull,Twoja drużyna jest obecnie pełna.=6575
UI/LookingForParty/Title,Szukam drużyny /// Looking For Party=6576
UI/Lost,Utracone /// Lost=6577
UI/LowSensitivity,Niska czułość /// Low Sensitivity=6578
UI/Ludicrous,Niesamowite /// Ludicrous=6579
UI/Mail_Control,Poczta (<h/>M) /// <h/>Mail=6580
UI/MainMenu,Menu główne /// Main Menu=6581
UI/MapList,Lista map /// Map List=6582
UI/MapSize00,Drobny /// Tiny=6583
UI/MapSize01,Małe=6584
UI/MapSize02,Średnia=6585
UI/MapSize03,Duży /// Large=6586
UI/MapSize04,Ogromna /// Huge=6587
UI/MapSize05,Epicka karta=6588
UI/MasterVolume_Colon,Głośność główna: /// Master Volume:=6589
UI/MatchHistory/ResultPointsFormat,%result% (%points%) /// %result% (%points%)=6590
UI/MatchHistory/TimeFormat,%duration% temu /// %duration% ago=6591
UI/MatchmakingPanel/CooperativeText,Sprzymierz się z innymi graczami przeciw SI. /// Match with other players against the A.I.=6592
UI/MatchmakingPanel/CooperativeTitle,Współpraca=6593
UI/MatchmakingPanel/CustomGamesText,Utwórz prywatną sesję gry dla znajomych. /// Create a private game with friends.=6594
UI/MatchmakingPanel/CustomGamesTitle,Gry dowolne=6595
UI/MatchmakingPanel/HeroLeagueText,Rywalizuj z innymi o rangę. Możesz zagrać w pojedynkę lub w drużynie dowolnej wielkości. /// Compete against others for rank. Play solo or in a party of any size.=6596
UI/MatchmakingPanel/HeroLeagueTitle,Liga bohaterów /// Hero League=6597
UI/MatchmakingPanel/PracticeText,Zagraj z sojusznikami i przeciwnikami sterowanymi przez S.I. /// Play with A.I. allies and opponents.=6598
UI/MatchmakingPanel/PracticeTitle,Trening=6599
UI/MatchmakingPanel/TeamLeagueText,Stwórz drużynę i rywalizuj w najbardziej prestiżowej lidze w Nexusie.=6600
UI/MatchmakingPanel/TeamLeagueTitle,Liga drużynowa /// Team League=6601
UI/MatchmakingPanel/VersusText,Walcz z graczami o podobnych umiejętnościach. /// Battle against other players of similar skill.=6602
UI/MatchmakingPanel/VersusTitle,Szybki mecz /// Quick Match=6603
UI/MatchmakingQueueDisabled,Ten tryb rozgrywki jest obecnie wyłączony. /// This play mode is currently disabled.=6604
UI/MatchmakingQueueUnavailble,Pobieranie informacji o kolejce...=6605
UI/MatchmakingQueueUnavailblePartyRequirements,Członkowie drużyny nie spełniają wymagań do wzięcia udziału w grze: /// Party members are not eligible to play:=6606
UI/MatchmakingQueueUnavailblePartySize,W twojej drużynie jest za dużo graczy, żeby wziąć udział w tym trybie gry.=6607
UI/MatureLanguageFilter,Włącz filtr wulgarnego języka /// Enable Mature ScLanguage Filter=6608
UI/MatureLanguageFilterTooltip,<c val="ffffff">Włącz filtr wulgarnego języka:</c><n/>Włącza wewnętrzny filtr wulgarnego języka. /// <c val="ffffff">Enable Mature ScLanguage Filter:</c><n/>Toggles the game's internal filtration of all mature language.=6609
UI/Mega,Mega /// Mega=6610
UI/Melee,Zwarcie=6611
UI/Menu,Menu /// Menu=6612
UI/MenuPanelClose,Wróć do gry=6613
UI/MenuPanelCredits,Autorzy /// Credits=6614
UI/MenuPanelCurrentRegion,%regionName% (bieżący region)=6615
UI/MenuPanelHelp,Pomoc=6616
UI/MenuPanelLogin,Zaloguj=6617
UI/MenuPanelLogout,Wyloguj=6618
UI/MenuPanelOptions,Opcje=6619
UI/MenuPanelQuit,Wyjdź z gry=6620
UI/MenuPanelSwitchRegion,Kliknij, aby przełączyć na inny region.=6621
UI/MenuPanelTutorial,Samouczek=6622
UI/MenuPanelTutorials,Szkolenia /// Tutorials=6623
UI/MercenaryFrameHired,NAJĘTO /// HIRED=6624
UI/MercenaryPanelAlreadyHired,Wynajęty /// Hired=6625
UI/MercenaryPanelClose_Control,ZAMKNI<h/>J /// <h/>CLOSE=6626
UI/MercenaryPanelCostHeading,Koszt: /// Cost:=6627
UI/MercenaryPanelCreditsHeading,Dostępne kredyty: /// Credits Available:=6628
UI/MercenaryPanelHire,NAJMIJ /// HIRE=6629
UI/MercenaryPanelSelectHeading,WYBIERZ NAJEMNIKÓW /// SELECT A MERCENARY=6630
UI/MercenaryPanelTitle,NAJEMNICY /// MERCENARIES=6631
UI/Merging,Scalanie /// Merging=6632
UI/MessageLog,Dziennik wiadomości /// Message Log=6633
UI/MessageLogDialogTitle,DZIENNIK WIADOMOŚCI /// MESSAGE LOG=6634
UI/MicrophoneBoost,Wzmocnienie głośności mikrofonu /// Microphone Boost=6635
UI/MicrophoneDisable,Wyłącz mikrofon systemowo /// Mute OS Microphone=6636
UI/MicrophoneEnable,Włącz mikrofon systemowo /// Unmute OS Microphone=6637
UI/MicrophoneTest_Colon,Test mikrofonu: /// Microphone Test:=6638
UI/MicrophoneVolume_Colon,Głośność mikrofonu: /// Microphone Volume:=6639
UI/MicrophoneWarningMissing,System operacyjny nie wykrył żadnego podłączonego mikrofonu. /// The operating system does not report any connected microphone.=6640
UI/MicrophoneWarningMuted,Twój mikrofon jest w tej chwili wyłączony na poziomie systemu operacyjnego.<n/>Naciśnij przycisk <c val="ffff00">Włącz mikrofon systemowo</c>, aby go włączyć. /// Your microphone is currently muted by the operating system.<n/>Press the <c val="ffff00">Unmute OS Microphone</c> button to unmute the microphone.=6641
UI/Minerals,Minerały /// Minerals=6642
UI/MineralsCollected,Zebrane minerały /// Minerals Collected=6643
UI/MineralsSpent,Zużyte minerały /// Minerals Spent=6644
UI/MinuteAgo,Minutę temu /// 1 minute ago=6645
UI/MinutesAgo,%d minut temu /// %d minutes ago=6646
UI/Mission,Misja /// Mission=6647
UI/MissionObjectives,Cele misji /// Mission Objectives=6648
UI/MissionSelectBonusTitle, <sp/>=6649
UI/MissionSelectNewUnit,Nowa jednostka /// New Unit=6650
UI/MissionSelectObjectiveTitle,ZADANIE: /// OBJECTIVE:=6651
UI/MissionSelectRewardTitle,DODATKOWE MOŻLIWOŚCI: /// BONUS OPPORTUNITIES:=6652
UI/MissionTimeTooltip,Pokazuje ile czasu upłynęło od początku gry. /// Shows the time that has elapsed since the beginning of the game.=6653
UI/MissionTitle_Colon,Misja: /// Mission:=6654
UI/Mod_Colon,Mod: /// Mod:=6655
UI/Models_Colon,Jakość modeli: /// Models:=6656
UI/MonthAgo,Miesiąc temu /// 1 month ago=6657
UI/MonthsAgo,%d miesięcy temu /// %d months ago=6658
UI/Morphing,Przekształcanie /// Morphing=6659
UI/Mouse,Mysz /// Mouse=6660
UI/MouseOverrideSensitivity,Ustaw czułość myszy /// Enable Mouse Sensitivity=6661
UI/MouseScrollEnabled,Włącz przewijanie mapy myszą /// Enable Mouse Scroll=6662
UI/MouseScrollSpeed_Colon,Szybkość przewijania myszą: /// Mouse Scroll Speed:=6663
UI/MouseSensitivity_Colon,Czułość myszy: /// Mouse Sensitivity:=6664
UI/MouseWheelZoom_Colon,Włącz przybliżanie kółkiem myszy /// Enable Mouse Wheel Zoom=6665
UI/Move,Ruch /// Move=6666
UI/MoveAndTurn,Ruch i obrót /// Move & Turn=6667
UI/MoveSpeed_Colon,Szybkość ruchu:=6668
UI/Movies_Colon,Jakość filmów: /// Movies:=6669
UI/MsFormat,%VAL ms /// %VAL ms=6670
UI/Multiplayer,Tryb wieloosobowy=6671
UI/MultiplayerLoading,Wczytywanie /// Loading=6672
UI/MultiplayerLoadingComplete,Gotowe=6673
UI/MultiplayerLoadingPanelEven,Wyrównane siły /// Teams Even=6674
UI/MultiplayerLoadingPanelFavored,Z przewagą /// Favored=6675
UI/MultiplayerLoadingPanelSlightlyFavored,Z lekką przewagą /// Slightly Favored=6676
UI/Multiplayer_Control,Gra wieloosobowa (<h/>M) /// <h/>Multiplayer=6677
UI/Music,Muzyka /// Music=6678
UI/MusicDisabled,Muzyka wyłączona /// Music Disabled=6679
UI/MusicEnabled,Muzyka włączona /// Music Enabled=6680
UI/Music_Colon,Muzyka: /// Music:=6681
UI/Mute,Wycisz /// Mute=6682
UI/Name,Nazwa /// Name=6683
UI/Name_Colon,Nazwa: /// Name:=6684
UI/NewOptions,Nowe opcje /// New Options=6685
UI/NewPassword_Colon,Nowe hasło: /// New Password:=6686
UI/NewUserPopup/ConfirmSkipMap2Title,POMINĄĆ SAMOUCZEK?=6687
UI/NewUserPopup/ConfirmSkipMap3Title,POMINĄĆ SZKOLENIE?=6688
UI/NewUserPopup/DirectToShopTitle,GRATULACJE!=6689
UI/NewUserPopup/ExplainHeroSelectTitle,WYBÓR BOHATERA=6690
UI/NewUserPopup/GoToPlayButtonTitle,AWANSOWANIE!=6691
UI/NewUserPopup/PlayPracticeGameTitle,CZAS NA TRENING!=6692
UI/NewUserPopup/PlaySecondTutorialButtonAccept,SAMOUCZEK=6693
UI/NewUserPopup/PlaySecondTutorialButtonCancel,POMIŃ SAMOUCZEK=6694
UI/NewUserPopup/PlaySecondTutorialTitle,MISJA UKOŃCZONA=6695
UI/NewUserPopup/PlayThirdTutorialButtonAccept,SZKOLENIE=6696
UI/NewUserPopup/PlayThirdTutorialButtonCancel,POMIŃ SZKOLENIE=6697
UI/NewUserPopup/PlayThirdTutorialTitle,SZKOLENIE Z TALENTÓW?=6698
UI/NewUserPopup/SkipSecondTutorialButtonAccept,NA RAZIE POMIŃ=6699
UI/NewUserPopup/SkipSecondTutorialButtonCancel,WSTECZ=6700
UI/NewUserPopup/SkipThirdTutorialButtonAccept,NA RAZIE POMIŃ=6701
UI/NewUserPopup/SkipThirdTutorialButtonCancel,WSTECZ=6702
UI/New_Control,Nowy=6703
UI/New_Objective_Parenthesis,(Nowe) /// (New)=6704
UI/News_Control,Wiadomości (<h/>N) /// <h/>News=6705
UI/No,Nie /// No=6706
UI/NoMessages,Brak wiadomości do wyświetlenia /// No Messages To Display=6707
UI/NoResolutionFound,Nie znaleziono odpowiednich rozdzielczości /// No Valid Resolutions Found=6708
UI/NoTips,Brak podpowiedzi do wyświetlenia /// No Tips To Display=6709
UI/NoTutorials,Brak samouczków do wyświetlenia /// No Tutorials To Display=6710
UI/NoValidLocales,Tego klienta gry nie można wykorzystać w wybranym przez ciebie regionie. /// The client you are using cannot be used in the region you have chosen.=6711
UI/NoiseSensitivity_Colon,Czułość na szum /// Noise Sensitivity:=6712
UI/None,Nic=6713
UI/Normal,Normalna=6714
UI/NormalMaps_Colon,Normalne mapy: /// Normal Maps:=6715
UI/Normal_Control,Normalny /// Normal=6716
UI/Notifications,Listy zablokowanych=6717
UI/Objectives,Cele=6718
UI/Observer,Obserwator /// Observer=6719
UI/ObserverAllPlayers,Wszyscy /// Everyone=6720
UI/ObserverCameraButtonTip,Kamera gracza /// Player Camera=6721
UI/ObserverCommentator,Komentator /// Commentator=6722
UI/ObserverOptions/ObserverInterfaceLabel,Interfejs obserwatora: /// Observer Interface=6723
UI/ObserverOptions/ObserverInterfaceNone,Domyślnie /// Default=6724
UI/ObserverOptions/ReplayInterfaceLabel,Interfejs powtórek=6725
UI/ObserverOptions/ReplayInterfaceNone,Domyślny=6726
UI/ObserverOptionsTooltips/GameTooltips,<c val="ffffff">Wyświetl opisy obiektów w grze:</c><n/>Włącza wyświetlanie opisów obiektów podczas obserwowania gry.<n/><n/>Jeśli ta opcja jest wyłączona, przytrzymanie klawisza<k val="GameTooltipsOn"/> tymczasowo ją aktywuje.=6727
UI/ObserverOptionsTooltips/ObserverInterfaceLabelText,<c val="ffffff">Interfejs obserwatora:</c><n/>Określa, który plik interfejsu zostanie wczytany podczas wchodzenia do gry jako obserwator.=6728
UI/ObserverOptionsTooltips/ReplayInterfaceLabelText,<c val="ffffff">Interfejs powtórek:</c><n/>Określa, który plik interfejsu zostanie wczytany podczas oglądania powtórek.=6729
UI/ObserverOptionsTooltips/ReplayTime,<c val="ffffff">Wyświetl informacje o czasie powtórki:</c><n/>Włącza/Wyłącza linię czasu przy powtórkach, zarówno na ekranie powtórek jak i na panelu w grze. /// <c val="ffffff">Display Replay Time Information:</c><n/>Will toggle timeline information for Replays in both the Replay screen and in-game panel.=6730
UI/ObserverStatusBarsButtonTip,Paski życia /// Hit Point Bars=6731
UI/ObserverViewMenuTip,Zmień perspektywę /// View Perspective=6732
UI/ObserverVision,WIZJA /// VISION=6733
UI/Observer_Control,Obserwator i powtórki /// Observer and Replay=6734
UI/Observers,Obserwatorzy=6735
UI/Off,Wył. /// Off=6736
UI/OfflineDisabledTooltip,Niedostępne w trybie offline=6737
UI/Ok,Ok /// Ok=6738
UI/Ok_Control,<h/>OK /// <h/>OK=6739
UI/OldPassword_Colon,Stare hasło: /// Old Password:=6740
UI/On,Wł. /// On=6741
UI/Options,OPCJE /// OPTIONS=6742
UI/OptionsDialog/Hotkeys_Control,Skróty klawiszowe=6743
UI/OptionsDialogCancel_Control,Anuluj /// Cancel=6744
UI/OptionsDialogOk_Control,OK /// Accept=6745
UI/Options_Control,Opcje=6746
UI/Options_Control_Caps,OPCJE /// OPTIONS=6747
UI/Options_RestartDialog,Niektóre z wybranych przez ciebie opcji wymagają ponownego uruchomienia gry. Czy chcesz to zrobić w tej chwili? /// Some of your options require a game restart to take effect. Would you like to restart now?=6748
UI/Options_RestartWarnDialog,Twoje opcje zostały zapisane, ale niektóre zmiany zostaną zastosowane dopiero po ponownym uruchomieniu gry.=6749
UI/Output,Wyjście /// Output=6750
UI/OutputDevice_Colon,Urządzenie wyjściowe: /// Output Device:=6751
UI/Overview_Control,Przegląd (<h/>O) /// <h/>Overview=6752
UI/OverwriteFile_Dialog,Plik <w>„%fileName%”</w> już istnieje. Na pewno chcesz go nadpisać?=6753
UI/PartyInviteButton/Invited,Oczekujące zaproszenie=6754
UI/PartyInviteButton/IsMember,W twojej drużynie=6755
UI/PartyInvitePanel/RequestMessage,%userName% zaprasza cię do drużyny=6756
UI/PartyInvitePanel/RequestToJoinMessage,%suggestedUserName% chce dołączyć do drużyny.=6757
UI/PartyInvitePanel/RequestToJoinSenderMessage,%suggestedUserName% chce dołączyć do drużyny za pośrednictwem gracza %senderUserName%. /// %suggestedUserName% requests to join the party through %senderUserName%=6758
UI/PartyInvitePanel/SuggestMessage,%senderUserName% proponuje zaproszenie użytkownika %suggestedUserName% do drużyny.=6759
UI/PartyPanel/BonusAddend,+%amount%=6760
UI/PartyPanel/BonusExperience,PD=6761
UI/PartyPanel/BonusMultiplier,%amount%%=6762
UI/PartyPanel/BoostBonusActive,<s val="StandardTooltipHeader">Stymulator aktywny</s></n>%bonusXp%% dodatkowego doświadczenia za każdy mecz.</n>%bonusGold%% dodatkowego złota za każdy mecz.</n></n>Pozostały czas: %duration% /// <s val="StandardTooltipHeader">Stimpack currently active</s></n>%bonusXp%% additional experience per game</n>%bonusGold%% additional gold per game</n></n>Time remaining: %duration%=6763
UI/PartyPanel/Description,Graj ze znajomymi, aby zdobyć więcej doświadczenia! Aby założyć drużynę, kliknij przycisk „Zaproś” poniżej.=6764
UI/PartyPanel/FriendBonusActive,<s val="StandardTooltipHeader">Premia za grę ze znajomym aktywna</s></n>%bonus% doświadczenia. /// <s val="StandardTooltipHeader">Friend Bonus activated</s></n>%bonus% experience=6765
UI/PartyPanel/FriendBonusNotActive,<s val="StandardTooltipHeader">Premia za grę ze znajomym nieaktywna</s></n>Graj w drużynie ze znajomym, aby zdobywać %bonus% więcej doświadczenia.</n></n>Uwaga: aby premia została przyznana, gracze w twojej drużynie muszą należeć do twoich znajomych. /// <s val="StandardTooltipHeader">Friend Bonus inactive</s></n>Play in a party with a friend to receive %bonus% more experience</n></n>Note: You must be friends with the players in your party to receive the friend bonus=6766
UI/PartyPanel/GoldTooltip,Złoto służy do kupowania przedmiotów w sklepie. Aby zdobyć złoto, wykonuj zadania, awansuj na wyższe poziomy i rozgrywaj mecze.=6767
UI/PartyPanel/HeroRole,%roleType% %role%=6768
UI/PartyPanel/IGRTooltip,=6769
UI/PartyPanel/Invite,Zaproś /// Invite=6770
UI/PartyPanel/Kick,Wyrzuć=6771
UI/PartyPanel/Leave,Opuść drużynę=6772
UI/PartyPanel/PaidIGRTooltip,=6773
UI/PartyPanel/Promote,Awans=6774
UI/PartyPanel/StatusInGame,W grze=6775
UI/PartyPanel/StatusInvited,Oczekujące zaproszenie=6776
UI/PartyPanel/StatusOffline,Rozłączono=6777
UI/PartyPanel/StatusOnline,Drużyna=6778
UI/PartyPanel/StimpackTooltipOff,<s val="StandardTooltipHeader">Stymulator nieaktywny</s></n>Stymulatory zwiększają zdobywane po meczu złoto i PD. Więcej szczegółów w sklepie. /// <s val="StandardTooltipHeader">Stimpack inactive</s></n>Stimpacks increase the Gold and XP you gain after a match. Visit the Shop to learn more.=6779
UI/PartyPanel/Suggest,Zaproponuj=6780
UI/PartyReadyPanel/CustomGameMessage,Zaproszono cię do gry dowolnej. /// You're invited to play a custom game=6781
UI/PartyReadyPanel/FunOrNotMessage,Zaproszono cię do gry „Hit czy kit”.=6782
UI/PartyReadyPanel/MatchmakingMessage,Zaproszono cię do gry w trybie: %queueName%.=6783
UI/PartyReadyPanel/Ready,Gotowość=6784
UI/PartyReadyPanel/ReadyCount,%readyMembers% / %totalMembers%=6785
UI/PartyReadyPanel/ReadyMessage,Oczekiwanie na członków drużyny=6786
UI/PartyReadyPanel/Remaining,Pozostało=6787
UI/PartyReadyPanel/ReplayMessage,Zaproszono cię do obejrzenia powtórki.=6788
UI/PartyReadyPanel/ReplayTitle,Powtórka=6789
UI/Password_Colon,Hasło: /// Password:=6790
UI/PatchRequiredDialogCancel,Anulu<h/>j /// <h/>Cancel=6791
UI/PatchRequiredDialogMessage,Do połączenia się z tym regionem potrzebna jest nowa aktualizacja.<n/><n/>Uruchom ponownie „StarCrafta II”, aby automatycznie zainstalować aktualizację, albo kliknij „Anuluj”, aby zmienić region. /// A new patch is required to connect to this region.<n/><n/>Restart StarCraft II to automatically install the patch or click Cancel to change regions.=6792
UI/PatchRequiredDialogRestart,U<h/>ruchom ponownie /// <h/>Restart=6793
UI/PatchRequiredDialogTitle,Wymagana jest aktualizacja=6794
UI/Peak,Szczyt /// Peak=6795
