AUTHENTICATION_BETA_REGION,– бета=0
Achievement/Description/Combat_Spells_InfestedTerrans,Уничтожьте 30 врагов с помощью зараженных терранов в одном матче с рейтингом или без. /// Destroy 30 units with Infested Terrans in an Unranked or Ranked game.=8872
Achievement/Description/Combat_Spells_MULE,Запросите 30 МУЛов в одном матче с рейтингом или без. /// Call down 30 MULEs in an Unranked or Ranked game.=8873
Achievement/Description/Combat_Spells_NeuralParasite,Уничтожьте 5 врагов одной боевой единицей, подчиненной нейропаразитом, в одном матче с рейтингом или без.=8874
Achievement/Description/Combat_Spells_Nuke,Уничтожьте 15 врагов одним ядерным ударом в матче с рейтингом или без. /// Kill 15 enemy units with a single Nuke in an Unranked or Ranked game.=8875
Achievement/Description/Combat_Spells_PhasePrism,В одной схватке вызовите 50 боевых единиц с помощью призм искривления. /// Using Warp Prisms, warp in 50 units in a single Melee game.=8876
Achievement/Description/Combat_Spells_Seeker,Уничтожьте 6 врагов одной ракетой «Гончая» в матче в режиме «Схватка».=8877
Achievement/Description/Combat_Spells_Snipe,Убейте 20 врагов снайперскими выстрелами в одном матче с рейтингом или без. /// Destroy 20 units with Sniper Rounds in an Unranked or Ranked game.=8878
Achievement/Description/Combat_Spells_SpawnLarva,Породите 100 личинок королевами в одном матче с рейтингом или без. /// Create 100 Larvae with Queens in an Unranked or Ranked game.=8879
Achievement/Description/Combat_Spells_Vortex,Нейтрализуйте 50 вражеских боевых единиц одной воронкой в режиме схватки. /// Capture 50 enemy units in a single Vortex in a Melee game.=8880
Achievement/Description/Combat_Spells_Yamato,Уничтожьте 20 врагов из орудия «Ямато» в одном матче с рейтингом или без. /// Destroy 20 units with Yamato blasts in an Unranked or Ranked game.=8881
Achievement/Description/Combat_Spells_ZealotWhileZerg,В режиме схватки вызовите зилота, играя за зергов. /// While playing as Zerg, warp in a Zealot in a Melee game.=8882
Achievement/Description/Combat_Teammatery_Heal,Восстановите 300 ед. здоровья союзным войскам в матче с рейтингом или без. /// Heal 300 life on allied units with Medivacs in an Unranked or Ranked game.=8883
Achievement/Description/Combat_Teammatery_Repair,В одной схватке восстановите 1000 ед. прочности дружественным строениям. /// Repair 1,000 life on allied units or structures in a single Melee game.=8884
Achievement/Description/Combat_TownHallDestroyer,Уничтожьте 4 командных центра, инкубатора или нексуса в одном матче с рейтингом или без. /// Destroy 4 Command Centers, Hatcheries, or Nexuses in an Unranked or Ranked game.=8885
Achievement/Description/Exploration_GuideThree_PlayReplay,Просмотрите любой повтор матча.=8886
Achievement/Description/Legacy_of_the_Ursadon,Убейте урсадона в сетевой игре, чтобы помочь ему воссоединиться с его погибшей возлюбленной Урсулой.=8887
Achievement/Description/QuickMatch_Competitive_FFA_5000_Kills,Уничтожьте 5000 вражеских боевых единиц в быстрых матчах «Каждый за себя». /// Destroy a total of 5,000 enemy units in Free-for-All Quick Match games.=8888
Achievement/Description/StarCraftMaster_01,Завершите любые 10 раундов в «Мастере StarCraft». /// Complete any 10 rounds in "StarCraft Master".=8889
Achievement/Description/StarCraftMaster_02,Завершите любые 20 раундов в «Мастере StarCraft». /// Complete any 20 rounds in "StarCraft Master".=8890
Achievement/Description/StarCraftMaster_03,Завершите любые 25 раундов в «Мастере StarCraft». /// Complete any 25 rounds in "StarCraft Master".=8891
Achievement/Description/StarCraftMaster_04,Завершите все 30 раундов в «Мастере StarCraft». /// Complete all 30 rounds in "StarCraft Master".=8892
Achievement/Description/StarCraftMaster_05,Завершите 8-й раунд в «Мастере StarCraft», не потеряв ни одного сталкера. /// Complete round 8 in "StarCraft Master" without losing any Stalkers.=8893
Achievement/Description/StarCraftMaster_06,Завершите 9-й раунд в «Мастере StarCraft» менее чем за 45 секунд. /// Complete round 9 in "StarCraft Master" in under 45 seconds.=8894
Achievement/Description/StarCraftMaster_07,Завершите 24-й раунд в «Мастере StarCraft», не потеряв ни одного сталкера. /// Complete round 24 in "StarCraft Master" without losing any Stalkers.=8895
Achievement/Name/AlliedCommanders_Progress,Прогресс в совместных заданиях=8896
Achievement/Name/COMPETITIVE,СОРЕВНОВАНИЕ /// COMPETITIVE=8897
Achievement/Name/CUSTOMGAME,Своя игра /// Custom Games=8898
Achievement/Name/CUSTOMMODMAPS,Игротека /// Arcade=8899
Achievement/Name/Campaign_Progress_Liberty,Прогресс в кампании (Liberty) /// Campaign Progress (Liberty)=8900
Achievement/Name/Campaign_Progress_MissionPacks,Campaign Progress Mission Packs=8901
Achievement/Name/Campaign_Progress_NovaCovertOps,Campaign Progress Nova Covert Ops=8902
Achievement/Name/Campaign_Progress_Void,Прогресс в кампании (Legacy of the Void)=8903
Achievement/Name/Campaign_Progress_VoidEpilogue,Прогресс в кампании Legacy of the Void: эпилог=8904
Achievement/Name/Campaign_Progress_VoidPrologue,Прогресс в кампании Legacy of the Void: пролог=8905
Achievement/Name/Challenge_AdvancedCommand_Basic,Вестник смерти: бронзовая медаль /// Harbinger of Death: Bronze=8906
Achievement/Name/Challenge_AdvancedCommand_Dominance,Вестник смерти: золотая медаль /// Harbinger of Death: Gold=8907
Achievement/Name/Challenge_AdvancedCommand_Mastery,Вестник смерти: серебряная медаль /// Harbinger of Death: Silver=8908
Achievement/Name/Challenge_Economy_Basic,Первый ход: бронзовая медаль /// Opening Gambit: Bronze=8909
Achievement/Name/Challenge_Economy_Dominance,Первый ход: золотая медаль /// Opening Gambit: Gold=8910
Achievement/Name/Challenge_Economy_Mastery,Первый ход: серебряная медаль /// Opening Gambit: Silver=8911
Achievement/Name/Challenge_MasterAchievement_Basic,Вызов принят /// Challenge Accepted=8912
Achievement/Name/Challenge_MasterAchievement_Dominance,Вызов принят – 3 /// Challenge Completed=8913
Achievement/Name/Challenge_MasterAchievement_Mastery,Вызов принят – 2 /// Challenge Accepted, Too!=8914
Achievement/Name/Challenge_Meta_GoldCollection,Чистое золото /// Solid Gold=8915
Achievement/Name/Challenge_ProtossCombat_Basic,Путь к совершенству: бронзовая медаль /// Path of Ascension: Bronze=8916
Achievement/Name/Challenge_ProtossCombat_Dominance,Путь к совершенству: золотая медаль /// Path of Ascension: Gold=8917
Achievement/Name/Challenge_ProtossCombat_Mastery,Путь к совершенству: серебряная медаль /// Path of Ascension: Silver=8918
Achievement/Name/Challenge_ProtossPsionics_Basic,Псионная атака: бронзовая медаль /// Psionic Assault: Bronze=8919
Achievement/Name/Challenge_ProtossPsionics_Dominance,Псионная атака: золотая медаль /// Psionic Assault: Gold=8920
Achievement/Name/Challenge_ProtossPsionics_Mastery,Псионная атака: серебряная медаль /// Psionic Assault: Silver=8921
Achievement/Name/Challenge_RushDefense_Basic,Ранняя оборона: бронзовая медаль /// Rush Defense: Bronze=8922
Achievement/Name/Challenge_RushDefense_Dominance,Ранняя оборона: золотая медаль /// Rush Defense: Gold=8923
Achievement/Name/Challenge_RushDefense_Mastery,Ранняя оборона: серебряная медаль /// Rush Defense: Silver=8924
Achievement/Name/Challenge_TerranCombat_Basic,Тактика и стратегия: бронзовая медаль /// Tactical Command: Bronze=8925
Achievement/Name/Challenge_TerranCombat_Dominance,Тактика и стратегия: золотая медаль /// Tactical Command: Gold=8926
Achievement/Name/Challenge_TerranCombat_Mastery,Тактика и стратегия: серебряная медаль /// Tactical Command: Silver=8927
Achievement/Name/Challenge_TerranCovertOps_Basic,Секретная операция: бронзовая медаль /// Covert Ops: Bronze=8928
Achievement/Name/Challenge_TerranCovertOps_Dominance,Секретная операция: золотая медаль /// Covert Ops: Gold=8929
Achievement/Name/Challenge_TerranCovertOps_Mastery,Секретная операция: серебряная медаль /// Covert Ops: Silver=8930
Achievement/Name/Challenge_ZergCombat_Basic,Во славу Роя: бронзовая медаль /// For the Swarm: Bronze=8931
Achievement/Name/Challenge_ZergCombat_Dominance,Во славу Роя: золотая медаль /// For the Swarm: Gold=8932
Achievement/Name/Challenge_ZergCombat_Mastery,Во славу Роя: серебряная медаль /// For the Swarm: Silver=8933
Achievement/Name/Challenge_ZergInfestation_Basic,Заражение: бронзовая медаль /// Infestation: Bronze=8934
Achievement/Name/Challenge_ZergInfestation_Dominance,Заражение: золотая медаль /// Infestation: Gold=8935
Achievement/Name/Challenge_ZergInfestation_Mastery,Заражение: серебряная медаль /// Infestation: Silver=8936
Achievement/Name/Combat_BasicTraining_Marines,Тяжело в учении /// Training Day=8937
Achievement/Name/Combat_BasicTraining_Zealots,Быстрые зилоты /// Zealot Push=8938
Achievement/Name/Combat_BasicTraining_Zerglings,Ранняя атака зерглингов /// Zergling Rush=8939
Achievement/Name/Combat_DodgeSeeker,Верткий тип /// Can't Touch This!=8940
Achievement/Name/Combat_Economy_CancelConstructionUnderFire,Спасение имущества /// One-Finger Discount=8941
Achievement/Name/Combat_Exploration_FreeForAllCrusher,Повелитель хаоса /// Free-for-All Crusher=8942
Achievement/Name/Combat_FastExpand,Быстрая экспансия /// Fast Expand=8943
Achievement/Name/Combat_FastTier2_Factory,Время строить /// Erector Time=8944
Achievement/Name/Combat_FastTier2_Lair,Синхронная мутация /// It's Morphing Time=8945
Achievement/Name/Combat_FastTier2_TwilightCouncil,Своевременный вызов /// Warp In Time=8946
Achievement/Name/Combat_Infrastructure_Protoss,Нужно больше протоссов /// Protoss Macro Master=8947
Achievement/Name/Combat_Infrastructure_Terran,Нужно больше терранов /// Terran Macro Master=8948
Achievement/Name/Combat_Infrastructure_Zerg,Нужно больше зергов /// Zerg Macro Master=8949
Achievement/Name/Combat_MapControl_DestroyConstructingTownHall,Разоритель /// Denied=8950
Achievement/Name/Combat_Meatgrinder,Мясорубка /// Meatgrinder=8951
Achievement/Name/Combat_Mechanic_Detection,Из-под земли достану /// I See Dead Units=8952
Achievement/Name/Combat_Mechanic_HighYield,Богатым будешь /// The Rich Get Richer=8953
Achievement/Name/Combat_Mechanic_KillTransport,Кровавый дождь /// Raining Blood=8954
Achievement/Name/Combat_Mechanic_Repair,Пожарный /// Fire Fighter=8955
Achievement/Name/Combat_Mechanic_RoachRegen,Тараканья жизнь /// A Roach's Life=8956
Achievement/Name/Combat_Mechanic_Shields,Расчетливый боец /// Frugal Fighter=8957
Achievement/Name/Combat_Mechanic_WarpIn,Много протоссов из ничего /// Warp In Madness=8958
Achievement/Name/Combat_Mechanic_WatchTower,Большой Брат следит за тобой /// Big Brother Is Watching=8959
Achievement/Name/Combat_Meta_Economy,Градостроитель /// City Builder=8960
