AUTHENTICATION_BETA_REGION,Bêta=0
UI/PlayerMessage/IsNoLongerBeingRevealed,%player% a reconstruit sa base et n’est plus découvert ! /// %player% rebuilt their base and is no longer being revealed!=6850
UI/PlayerMessage/IsNowPlaying,%player% a rejoint la partie !=6851
UI/PlayerMessage/ResourceSplit,Les ressources collectées par %player% seront divisées entre les alliés restants. /// Resources gathered by %player% will be split among remaining allies.=6852
UI/PlayerMessage/Responsive,%player% répond à nouveau.=6853
UI/PlayerMessage/StalemateBegin,Situation d’égalité détectée ! La partie va se terminer dans <d time="180"/> à moins qu’un joueur ne collecte des ressources, ne lance une recherche, ne produise une unité, ne construise un bâtiment ou ne détruise un bâtiment adverse.=6854
UI/PlayerMessage/StalemateEnd,Situation débloquée ! La partie va maintenant reprendre normalement. /// Stalemate ended! The game will now resume normally.=6855
UI/PlayerMessage/Unresponsive,%player% ne répond pas.=6856
UI/PlayerMessage/WasDefeated,%player% a perdu ! /// %player% was defeated!=6857
UI/PlayerMessage/WasDestroyed,%player% n’a plus de troupes ! /// %player% no longer has any forces!=6858
UI/PlayerMessage/WasVictorious,%player% a gagné ! /// %player% was victorious!=6859
UI/PlayerNameAI,IA - %difficulty%=6860
UI/PlayerRewardsPanel/GoldEarnedToolTipHeader,Or gagné /// Gold Earned=6861
UI/PlayerRewardsPanel/GoldEarnedToolTipTotal,Or total /// Total Gold=6862
UI/PlayerRewardsPanel/HasPlaced,Entrée au classement !=6863
UI/PlayerRewardsPanel/LevelUp,Gain de niveau /// Level Up=6864
UI/PlayerRewardsPanel/MaxLevel,Niveau maximum=6865
UI/PlayerRewardsPanel/NextReward,Niveau %level% :=6866
UI/PlayerRewardsPanel/PlayerName,Niveau du joueur /// Player Level=6867
UI/PlayerRewardsPanel/RankEarnedToolTipHeader,Points de rang gagnés=6868
UI/PlayerRewardsPanel/RankEarnedToolTipTotal,Points de rang totaux=6869
UI/PlayerRewardsPanel/RankUp,Gain de rang=6870
UI/PlayerRewardsPanel/UnlockUltimateSkin,Modèle maître débloqué !=6871
UI/PlayerRewardsPanel/XPEarnedToolTipHeader,Expérience gagnée /// Experience Earned=6872
UI/PlayerRewardsPanel/XPEarnedToolTipTotal,Expérience totale /// Total Experience=6873
UI/PlayerStatAPM,APM /// APM=6874
UI/PlayerStatArmySupply,Troupes /// Army Supply=6875
UI/PlayerStatArmyUnitsLost,Unités tuées /// Units Killed=6876
UI/PlayerStatCPM,EPM /// EPM=6877
UI/PlayerStatName,Panneau de noms /// Name Panel=6878
UI/PlayerStatResources,Minerai /// Minerals=6879
UI/PlayerStatResourcesGas,Gaz /// Gas=6880
UI/PlayerStatWorkerSuuply,Ouvriers /// Worker Supply=6881
UI/PlayerStatWorkerUnitsLost,Ouvriers tués /// Workers Killed=6882
UI/Player_Number,Joueur %val% /// Player %val%=6883
UI/Politics,Politique /// Politics=6884
UI/PortraitType_Colon,Portraits d’unités : /// Unit Portraits:=6885
UI/PostProcessing_Colon,Post-traitement : /// Post-Processing:=6886
UI/PrePurchase,Préacheter=6887
UI/PressDesiredKey,Appuyez sur la touche désirée /// Press the desired key=6888
UI/PrimaryHotkey_Colon,Raccourci : /// Hotkey:=6889
UI/PrimaryObjectiveTitle_Colon,Objectif de la mission : /// Mission Objective:=6890
UI/PrimaryObjectives,Objectifs principaux /// Main Objectives=6891
UI/Produced,Produit /// Produced=6892
UI/Produces_Colon,Produit : /// Produces:=6893
UI/ProductPurchase/AddBalance,AJOUTER UN PORTE-MONNAIE BLIZZARD=6894
UI/ProductPurchase/AdditionalLegalText,* Des frais supplémentaires peuvent être appliqués, veuillez vous renseigner auprès de votre établissement bancaire. /// * Additional fees may apply, please contact your bank.=6895
UI/ProductPurchase/AdditionalLegalTextKR,* Durée du service : jusqu’à interruption du service /// * Duration of service: Until termination of service=6896
UI/ProductPurchase/AdditionalLegalTextKRExpires,*Durée de service : jusqu’à expiration de l’article=6897
UI/ProductPurchase/AdditionalLegalTextTW,Le montant de la transaction sera déduit de votre porte-monnaie Blizzard.=6898
UI/ProductPurchase/AvailabilityWarning,Cet achat ne pourra pas être utilisé dans la partie que vous vous apprêtez à jouer.=6899
UI/ProductPurchase/BreakingNewsTitle,Actualités=6900
UI/ProductPurchase/BundleLegalText,Le remboursement sera impossible si l’un des produits constituant le pack a été utilisé.=6901
UI/ProductPurchase/CancelButton,ANNULER /// CANCEL=6902
UI/ProductPurchase/CompleteSuccess,Votre achat est terminé !=6903
UI/ProductPurchase/ConfirmButton,PAYER /// PAY NOW=6904
UI/ProductPurchase/ConfirmRegionEditBoxText,Saisissez « %region% » pour confirmer=6905
UI/ProductPurchase/ConfirmRegionText,Les achats seront disponibles dans la région de connexion Blizzard listée ci-dessous ainsi que dans cette région de RPT. Si la région listée ci-dessous ne correspond pas à celle dans laquelle vous jouez normalement, vous devez changer votre région d’achat dans le menu Options.<n/>Région de connexion Blizzard dans laquelle ce produit sera acheté : %region%<n/>Inscrivez le nom de la région dans la case ci-dessous pour continuer votre achat.=6906
UI/ProductPurchase/EuTermsOfSale,En cliquant sur le bouton PAYER, vous acceptez les <a name="Nydus" href="termsofsale">[Conditions de vente]</a> et la mise en livraison immédiate de votre commande. Vous n’aurez plus le droit d’annuler votre commande une fois que le processus de livraison aura commencé.=6907
UI/ProductPurchase/EuVATIncluded,TVA applicable incluse=6908
UI/ProductPurchase/GetMoreHelpNydusLink,<a name="Nydus" href="error/%bpaycode%">[Plus d’aide : %bpaycode%]</a>=6909
UI/ProductPurchase/GoldConfirmButton,ACHETER EN OR /// BUY WITH GOLD=6910
UI/ProductPurchase/GoldPurchase,Or /// Gold=6911
UI/ProductPurchase/Item,Objet /// Item=6912
UI/ProductPurchase/KoVATIncluded,TVA incluse=6913
UI/ProductPurchase/LearnMore,Plus d’informations /// Learn more=6914
UI/ProductPurchase/MaintenanceWarning,Une maintenance pourrait affecter votre temps de turbo. Celui-ci n’est pas compensé en cas de maintenance prévue.=6915
UI/ProductPurchase/MaintenanceWarningTitle,ATTENTION !=6916
UI/ProductPurchase/ManageAccount,GESTION DU COMPTE /// MANAGE ACCOUNT=6917
UI/ProductPurchase/ManagePayment,GÉRER LES MOYENS DE PAIEMENT /// MANAGE PAYMENT OPTIONS=6918
UI/ProductPurchase/PaymentMethod,Paiement=6919
UI/ProductPurchase/Price,Prix /// Price=6920
UI/ProductPurchase/PriceMismatch,Les prix de la boutique ont été mis à jour. Veuillez réessayer.=6921
UI/ProductPurchase/PriceValidationFailure,La validation du prix a échoué. Veuillez réessayer.=6922
UI/ProductPurchase/ProductDataMismatchMessage,Les informations sur le produit ont été mises à jour. Veuillez réessayer.=6923
UI/ProductPurchase/ProductOwned,Déjà en votre possession /// Already Owned=6924
UI/ProductPurchase/ProductRatingDescription,Violence=6925
UI/ProductPurchase/ProductRatingHeader,CLASSIFICATION=6926
UI/ProductPurchase/PurchaseButton,OK /// CONFIRM=6927
UI/ProductPurchase/PurchaseComplete,Achat terminé /// Purchase Completed=6928
UI/ProductPurchase/PurchaseReward,Merci d’avoir effectué un achat ! En gage de notre reconnaissance, nous vous offrons cette élégante monture Blanchette.=6929
UI/ProductPurchase/PurchaseRewardBeta,Merci d’avoir effectué un achat ! En gage de notre appréciation, nous vous offrons cette élégante monture Biquette. Cette monture n’est disponible que pour une durée limitée.=6930
UI/ProductPurchase/PurchaseTimeoutMessage,La procédure d’achat a expiré. Veuillez réessayer plus tard. /// Purchase has timed out. Please try again later.=6931
UI/ProductPurchase/Quantity,Qté. /// Qty=6932
UI/ProductPurchase/RefundPolicy,J’accepte la <a name="Nydus" href="refundpolicy">[Politique de remboursement]</a> /// I accept the <a name="Nydus" href="refundpolicy">[Refund Policy]</a>=6933
UI/ProductPurchase/RefundPolicyExpires,Cet article est immédiatement ajouté à votre compte après achat et ne peut pas être remboursé. J’accepte la <a name="Nydus" href="refundpolicy">[Politique de remboursement]</a>=6934
UI/ProductPurchase/RetryButton,RÉESSAYER /// TRY AGAIN=6935
UI/ProductPurchase/RiskError,Information invalide. Veuillez réessayer.=6936
UI/ProductPurchase/SkinWarning,Les modèles d’unité ne peuvent pas être utilisés en mode campagne ou en coop.=6937
UI/ProductPurchase/TaxesExcluded,plus toutes taxes applicables /// plus any applicable taxes=6938
UI/ProductPurchase/TaxesIncluded,toutes taxes incluses /// including any applicable taxes=6939
UI/ProductPurchase/TermsOfSale,En cliquant sur le bouton PAYER, vous acceptez les <a name="Nydus" href="termsofsale">[Conditions de vente]</a>=6940
UI/ProductPurchase/TermsOfSaleKR,Je comprends et j’accepte les termes de la <a name="Nydus" href="refundpolicy">[Politique de remboursement]</a><n/>En cliquant sur le bouton Payer, vous acceptez les <a name="Nydus" href="termsofsale">[Conditions de vente]</a>.=6941
UI/ProductPurchase/TermsOfSaleKRExpires,Cet article sera ajouté à votre compte dès l’achat et ne sera pas remboursable. Je comprends et j’accepte les termes de la <a name="Nydus" href="refundpolicy">[Politique de remboursement]</a><n/>En cliquant sur le bouton Payer, vous acceptez les <a name="Nydus" href="termsofsale">[Conditions de vente]</a>.=6942
UI/ProductPurchase/Total,Total=6943
UI/ProductPurchase/UpdatePayment,METTRE À JOUR LE MOYEN DE PAIEMENT /// UPDATE PAYMENT METHOD=6944
UI/ProductPurchase/WarningTitle,ATTENTION !=6945
UI/ProfileDialog/BackButton,Retour /// Back=6946
UI/ProfileDialog/EmptyMatchHistory,Commencez par faire quelques parties.=6947
UI/ProfileDialog/Error,Ce joueur n’a pas de profil sur votre royaume.=6948
UI/ProfileDialog/ErrorDescription,Il y a eu comme une erreur.<n/>Allez vous balader et revenez plus tard.=6949
UI/ProfileDialog/ErrorTitle,Spasme du Nexus=6950
UI/ProfileDialog/HeroCollectionButton,Collection de héros /// Hero Collection=6951
UI/ProfileDialog/HeroProgressionTitle,Collection de héros /// Hero Collection=6952
UI/ProfileDialog/HeroSearchBox,Chercher dans la collection /// Search Collection=6953
UI/ProfileDialog/HeroSortProgress,Meilleure progression=6954
UI/ProfileDialog/HeroSortRecent,Commencé récemment=6955
UI/ProfileDialog/HeroStatsFormat,%wins% <lang rule="plural" value="%wins%">victoire,victoires</lang>   %takedowns% <lang rule="plural" value="%takedowns%">victime,victimes</lang>=6956
UI/ProfileDialog/InfoHeader,INFORMATIONS GÉNÉRALES /// GENERAL INFORMATION=6957
UI/ProfileDialog/LevelHeader,NIVEAU /// LEVEL=6958
UI/ProfileDialog/MapTotalLosses,%losses%<s val="PlayerProfileStatsHeroInfoStatSemiTransparent">D</s>=6959
UI/ProfileDialog/MapTotalWinPct,%winPct%% /// %winPct%%=6960
UI/ProfileDialog/MapTotalWins,%wins%<s val="PlayerProfileStatsHeroInfoStatSemiTransparent">V</s>=6961
UI/ProfileDialog/MatchHistory/Hero,Héros /// Hero=6962
UI/ProfileDialog/MatchHistory/Map,Carte /// Map=6963
UI/ProfileDialog/MatchHistory/Mode,Mode /// Mode=6964
UI/ProfileDialog/MatchHistory/Result,Résultat /// Result=6965
UI/ProfileDialog/MatchHistory/Time,Date /// Time=6966
UI/ProfileDialog/MatchHistoryButton,Historique des matchs /// Match History=6967
UI/ProfileDialog/MostPlayedGames,%games% <lang rule="plural" value="%games%">PARTIE,PARTIES</lang>=6968
UI/ProfileDialog/MostPlayedHeader,LES PLUS JOUÉS CETTE SAISON /// MOST PLAYED THIS SEASON=6969
UI/ProfileDialog/PlayerLevel,niveau %level%=6970
UI/ProfileDialog/PlayerLevelHeader,Niveau du joueur /// Player Level=6971
UI/ProfileDialog/PortraitButton,Portrait /// Portrait=6972
UI/ProfileDialog/ProgressRemaining,%remaining% points d’EXP pour le prochain niveau /// %remaining% XP to next level=6973
UI/ProfileDialog/QuestsButton,Quêtes journalières /// Daily Quests=6974
UI/ProfileDialog/QuestsDescription,Les quêtes peuvent être accomplies dans n’importe quel mode, sauf Personnalisé.=6975
UI/ProfileDialog/QuestsLocked,QUÊTES VERROUILLÉES=6976
UI/ProfileDialog/QuestsTitle,Quêtes journalières /// Daily Quests=6977
UI/ProfileDialog/RankedPlayHeader,Partie classée /// Ranked Play=6978
UI/ProfileDialog/RankedTeamsHeader,Équipes classées=6979
UI/ProfileDialog/RecentVictoryHeader,Victoire récente=6980
UI/ProfileDialog/RewardsButton,Progression du joueur /// Player Progression=6981
UI/ProfileDialog/SeasonCurrent,Cette saison /// This Season=6982
UI/ProfileDialog/SeasonFormat,Saison %num% %year%=6983
UI/ProfileDialog/Statistics/DisplayFormat,Mode d’affichage le plus utilisé : %display%=6984
UI/ProfileDialog/Statistics/GamesWon,%games% parties gagnées=6985
UI/ProfileDialog/Statistics/MapTotals,STATISTIQUES PAR CARTE=6986
UI/ProfileDialog/Statistics/Wins,Victoires=6987
UI/ProfileDialog/StatisticsButton,Statistiques /// Statistics=6988
UI/ProfileDialog/SummaryButton,Résumé du profil /// Profile Summary=6989
UI/ProfileDialog/TotalGames,%games% parties jouées au total /// %games% Total Games Played=6990
UI/ProfileDialog/TotalHeroLevelHeader,NIVEAU DE HÉROS TOTAL /// TOTAL HERO LEVEL=6991
UI/ProfileDialog/UnlockRank,Obtenez le niveau %rank% de joueur /// Reach Player Level %rank%=6992
UI/ProfileDialog/VersusAIHeader,Contre l'IA /// Versus A.I.=6993
UI/ProfileName_Colon,Nom de profil : /// Profile Name:=6994
UI/ProfileTemplate_Colon,Modèle du profil : /// Profile Template:=6995
UI/Profile_Control,Pr<h/>ofil /// Pr<h/>ofile=6996
UI/Profiles,Profils /// Profiles=6997
UI/Provider,Interface /// Provider=6998
UI/Purchase,Acheter /// Purchase=6999
UI/PurchaseAvailable,Améliorations achetables /// Purchasable Upgrades=7000
UI/PurchaseCost_Colon,Coût de la technologie : /// Tech Cost:=7001
UI/PurchaseCreditsFormat,<val/> mil /// <val/> mil=7002
UI/PurchaseCredits_Colon,Crédits disponibles : /// Credits Available:=7003
UI/PurchaseCurrent,Inventaire actuel /// Current Inventory=7004
UI/PurchasePanelAlreadyPurchased,Acheté /// Purchased=7005
UI/PurchasePanelCostHeading,Coût : /// Cost:=7006
UI/PurchasePanelCreditsHeading,Crédits disponibles : /// Credits Available:=7007
UI/PurchasePanelNoSelection,Sélectionnez une amélioration technologique /// Select a Tech Upgrade=7008
UI/PurchasePanelPurchase,ACHETER /// PURCHASE=7009
UI/PurchasePanelSelectHeading,SÉLECTIONNER UNE AMÉLIORATION /// SELECT AN UPGRADE=7010
UI/PurchasePanelTitle,ACHAT DE TECHNOLOGIE /// TECH PURCHASE=7011
UI/PurchaseRegion/EU,Europe=7012
UI/PurchaseRegion/KR,Asie=7013
UI/PurchaseRegion/NONE,Par défaut (%region%)=7014
UI/PurchaseRegion/UNKNOWN,Inconnu=7015
UI/PurchaseRegion/US,Amériques=7016
UI/PurchasedIndicator/Artifact,Vous possédez cet artéfact=7017
UI/PurchasedIndicator/ArtifactSlot,Vous possédez cet emplacement d’artéfact=7018
UI/PurchasedIndicator/Bundle,Vous le possédez déjà=7019
UI/PurchasedIndicator/Hero,Vous possédez ce héros=7020
UI/PurchasedIndicator/Mount,Vous possédez cette monture=7021
UI/PurchasedIndicator/Skin,Vous possédez ce modèle=7022
UI/PushToTalk,Appuyer pour parler /// Push-to-talk=7023
UI/PushToTalkKey_Colon,Touche du mode Appuyer pour parler : /// Push-To-Talk Key:=7024
UI/PushToTalkSound,Son du mode Appuyer pour parler /// Push-To-Talk Sound=7025
UI/Quality,Qualité /// Quality=7026
UI/Quality_Colon,Qualité : /// Quality:=7027
UI/QuestLogPanel/MaxPlayerLevel,Vous avez atteint le niveau de joueur maximum ! Youhou !=7028
UI/QuestLogPanel/NewBadge,Nouveau=7029
UI/QuestLogPanel/NewTitle,Nouvelle quête !=7030
UI/QuestLogPanel/NextRewardLevel,Récompense de niveau %rank%=7031
UI/QuestLogPanel/PlayerProgressionNextLevelReward,Récompense de niveau %level%=7032
UI/QuestLogPanel/PlayerProgressionSubHeader,Progression du joueur /// Player Progression=7033
UI/QuestLogPanel/QuestSubHeader,Quêtes journalières=7034
UI/QuestLogPanel/SpecialEventsSubHeader,Évènements spéciaux=7035
UI/QuestLogPanel/Title,Journal des quêtes=7036
UI/QuickCastModeOff,Désactivé=7037
UI/QuickCastModeOn,Activé=7038
UI/QuickCastModeOnUp,Au relâchement=7039
UI/QuickCastMode_Colon,Lancement rapide :=7040
UI/QuickSave,Sauvegarde rapide /// Quick Save=7041
UI/Quit_Control,Quitter=7042
UI/Quit_Control_Caps,QUITTER /// QUIT=7043
UI/RIDUnblockTooltip,<c val="ffffff">Débloquer les demandes d’amis (nom réel) :</c><n/>Permet à l’utilisateur sélectionné de vous envoyer à nouveau une demande d’ami (nom réel). /// <c val="ffffff">Unblock Real ID Friend Requests:</c><n/>Allow selected user to send you Real ID friend requests again.=7044
UI/Race,Race /// Race=7045
UI/Race/Protoss,Protoss /// Protoss=7046
UI/Race/Terran,Terran /// Terran=7047
UI/Race/Zerg,Zerg /// Zerg=7048
UI/RacePulldown/All,Toutes=7049
UI/Random,Aléatoire /// Random=7050
UI/RankedPlay/CasualLeagueTooltip,<s val="StandardTooltipHeader">Ligue héroïque</s><n/><n/>Cette ligue permet aux joueurs seuls ou en équipes pouvant compter jusqu’à quatre membres d’affronter d’autres joueurs de niveau comparable.<n/><n/><s val="StandardTooltipHeader">Rang de ligue</s><n/><n/><ul indent="3" text="•"><li>Votre rang est une indication de votre niveau de jeu, dans la mesure où chaque rang regroupe environ 2% des joueurs de la ligue.</li><n/><li>Pour gravir ces échelons, gagnez des matchs et obtenez des points.</li><n/><li>Entre les rangs 50 et 40, les défaites n’entraînent pas de perte de points de rang.</li><n/><li>Classement : votre rang ne sera établi qu’après que vous aurez joué un nombre de parties suffisant pour déterminer votre niveau.=7051
UI/RankedPlay/TeamLeagueTooltip,<s val="StandardTooltipHeader">Ligue par équipes</s><n/><n/>Dans ce mode, des équipes complètes en affrontent d’autres de niveau équivalent.<n/><n/><s val="StandardTooltipHeader">Rang de ligue</s><n/><n/><ul indent="2" text="•"><li>Votre rang est une indication de votre niveau de jeu, dans la mesure où chaque rang regroupe environ 2% des joueurs de la ligue.</li><n/><li>Pour gravir ces échelons, gagnez des matchs et obtenez des points.</li><n/><li>Entre les rangs 50 et 40, les défaites n’entraînent pas de perte de points de rang.</li><n/><li>Classement : votre rang ne sera établi qu’après que vous aurez joué un nombre de parties suffisant pour déterminer votre niveau.=7052
