AUTHENTICATION_BETA_REGION,内测或公测 /// Beta=0
UI/ChangeToonNameDialogMessage,输入一个新的名称。更改名称后，你需要登出并重新登录。每个赛季只能更改一次名称。 /// Enter a new name.  You will be logged out and back in again after changing your name.  You are provided only one name change per season.=3675
UI/ChangeToonNameDialogTitle,更改玩家名称 /// Change Player Name=3676
UI/ChangeToonNameDialogTooltipNameChangeUnavailable,更改名称服务可用。 /// Name change unavailable.=3677
UI/ChangeToonNameUnavailableDialogMessage,更改名称当前不可用。新更改的名称将在下一个赛季开始后生效。 /// Name change is currently unavailable.  A new name change will become available after the next season roll.=3678
UI/Chat,聊天 /// Chat=3679
UI/Chat/TooManyMessages,聊天消息发送失败。你最近发送的聊天消息过多。 /// Your chat message was not sent.  You have sent too many chat messages recently.=3680
UI/Chat/UserBlocked,%userName%已被屏蔽了。 /// %userName% has been blocked.=3681
UI/Chat/UserUnblocked,已解除对%userName%的屏蔽。 /// %userName% has been unblocked.=3682
UI/ChatChannels,聊天频道 /// Chat Channels=3683
UI/ChatChannelsPanel/MembersInChat,%count%名玩家正在聊天 /// %count% in chat=3684
UI/ChatChannelsPanel/MembersTitle,聊天频道成员=3685
UI/ChatCheckBoxEnableAlliedChat,启用盟友聊天 /// Enable Allied Chat=3686
UI/ChatCycle,按下%chatRecipientHotkey%，在所有的聊天对象间切换。 /// Press %chatRecipientHotkey% to cycle chat recipients=3687
UI/ChatDisplayListBoxContextMenuCopyText,复制消息 /// Copy Message=3688
UI/ChatEnable,按下%chatEnableHotkey%键或点击聊天栏可恢复聊天 /// Press %chatEnableHotkey% or click the chat bar to resume chatting=3689
UI/ChatEnableNoHotkey,点击聊天输入栏恢复聊天输入。 /// Click the chat bar to resume chatting=3690
UI/ChatHelp,按下%chatHotkey%键进行聊天。 /// Press %chatHotkey% to chat=3691
UI/ChatHelpTooltip,<s val="@@StandardTooltipHeader">聊天帮助</s><n/><n/> /// <s val="@@StandardTooltipHeader">Chat Help</s><n/><n/>=3692
UI/ChatHelpTooltipAll,对所有人%allHotkey%<n/> /// To Everyone%allHotkey%<n/>=3693
UI/ChatHelpTooltipAllies,对盟友%alliesHotkey%<n/> /// To Allies%alliesHotkey%<n/>=3694
UI/ChatHelpTooltipCancel,取消%cancelHotkey% /// Cancel%cancelHotkey%=3695
UI/ChatHelpTooltipCycle,切换消息接收群体%cycleHotkey%<n/>=3696
UI/ChatHelpTooltipIndividual,对特定玩家%individualHotkey%<n/>=3697
UI/ChatHelpTooltipIndividualCycle,切换特定玩家%individualHotkey%<n/>=3698
UI/ChatHelpTooltipInitiate,<c val="ffffff">开始聊天</c><n/> /// <c val="ffffff">TO INITIATE CHAT</c><n/>=3699
UI/ChatHelpTooltipSend,发送%sendHotkey%<n/> /// Send%sendHotkey%<n/>=3700
UI/ChatHelpTooltipWhileActive,<n/><c val="ffffff">聊天频道激活时</c><n/> /// <n/><c val="ffffff">WHILE CHAT IS ACTIVE</c><n/>=3701
UI/ChatManagerPanel/AllChat,全局聊天 /// All Chat=3702
UI/ChatManagerPanel/UnreadMessageFormat,(%messageCount%) /// (%messageCount%)=3703
UI/ChatMembersDialog/Title,%chatName% 成员 (%memberCount%) /// %chatName% Members (%memberCount%)=3704
UI/ChatMembersPanel/WhispersTitle,密语 /// Whispers=3705
UI/ChatPanel/AlliedChatOff,<c val="#ColorChatSystem">您已禁用盟友聊天功能。前往选项菜单启用盟友聊天。</c> /// <c val="#ColorChatSystem">You have disabled Allied Chat. Go to the Options menu to enable Allied Chat.</c>=3706
UI/ChatPanel/AlliedChatOffWithLink,<c val="#ColorChatSystem">您已禁用盟友聊天功能。点击<a name="%optionName%" href="%value%"><c val="#ColorWhite">[这里]</c></a>启用盟友聊天。</c> /// <c val="#ColorChatSystem">You have disabled Allied Chat. Click <a name="%optionName%" href="%value%"><c val="#ColorWhite">[HERE]</c></a> to enable Allied Chat.</c>=3707
UI/ChatPanel/AlliedChatOn,<c val="#ColorChatSystem">您已启用盟友聊天功能。前往选项菜单禁用盟友聊天。</c> /// <c val="#ColorChatSystem">You have enabled Allied Chat. Go to the Options menu to disable Allied Chat.</c>=3708
UI/ChatPanel/AlliedChatOnWithLink,<c val="#ColorChatSystem">您已启用盟友聊天功能。点击<a name="%optionName%" href="%value%"><c val="#ColorWhite">[这里]</c></a>禁用盟友聊天。</c> /// <c val="#ColorChatSystem">Allied Chat is enabled. Click <a name="%optionName%" href="%value%"><c val="#ColorWhite">[HERE]</c></a> to disable Allied Chat.</c>=3709
UI/ChatPanel/AlliedChatUndoLink, <a name="%optionName%" href="%value%"><c val="#ColorWhite">[撤销]</c></a> ///  <a name="%optionName%" href="%value%"><c val="#ColorWhite">[UNDO]</c></a>=3710
UI/ChatPanel/ChatPrivacyHelp,<c val="#ColorChatSystem">聊天消息过滤已关闭。前往选项菜单屏蔽非好友消息。</c> /// <c val="#ColorChatSystem">Chat Message Privacy is off. Go to the Options menu to mute non-friend messages.</c>=3711
UI/ChatPanel/ErrorAlliedChatMuted,<c val="#ColorRed">盟友聊天已被禁用。前往选项菜单启用盟友聊天。</c> /// <c val="#ColorRed">Allied Chat is disabled. Go to the Options menu to enable Allied Chat.</c>=3712
UI/ChatPanel/HelpMessage,<s val="BattleChatSystem">聊天帮助：</n>- /join &lt;聊天频道名称&gt; - 加入指定聊天频道</n>- /leave &lt;聊天频道名称&gt; - 离开指定聊天频道</n>- /list - 列出全部聊天频道</n>- /who - 列出当前聊天频道中的成员</n>- /&lt;频道索引&gt; - 将当前聊天频道变更至指定聊天索引</n>- /w &lt;玩家名字&gt; &lt;消息内容&gt; - 发送一条密语</n>- /r &lt;消息内容&gt; - 回复最近一条密语</s> /// <s val="BattleChatSystem">Chat Help:</n>- /join &lt;channel name&gt; - joins the specified channel</n>- /leave &lt;channel name&gt; - leaves the specified channel</n>- /list - lists available channels</n>- /who - lists members in active channel</n>- /&lt;channel index&gt; - changes active channel to specified channel index</n>- /w &lt;player name&gt; &lt;message&gt; - send a private whisper</n>- /r &lt;message&gt; - reply to a recent whisper</s>=3713
UI/ChatPanel/InactiveChat,按下回车键或"/"键开始聊天 /// Press Enter to chat or / for commands=3714
UI/ChatPanel/InactiveChatCommand,输入 / 来显示命令列表 /// Press / for a list of commands=3715
UI/ChatPanel/ListMessage,<s val="BattleChatChannel">聊天频道列表：</s> /// <s val="BattleChatChannel">Listing chat channels:</s>=3716
UI/ChatPanel/ListMessageName,<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">%chatName%</a></s> /// <s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">%chatName%</a></s>=3717
UI/ChatPanel/MessageLinkFormat,%message% %link% /// %message% %link%=3718
UI/ChatPanel/MessageTimestampFormat,<s val="%style%"><a name="" href="">%time%</a></s> %message% /// <s val="%style%"><a name="" href="">%time%</a></s> %message%=3719
UI/ChatPanel/NameLabel,<a name="" href="">[%chatName%]:</a> /// <a name="" href="">[%chatName%]:</a>=3720
UI/ChatPanel/NotInChatMessage,你必须加入聊天频道来进行聊天。输入 /join [聊天频道名称]来加入聊天频道或输入/list显示全部聊天频道 /// You must join a chat channel to chat. Type /join [channelName] or /list to list channels=3721
UI/ChatPanel/TimeMessage,<s val="BattleChatSystem">本地时间：%time%</s> /// <s val="BattleChatSystem">Local Time: %time%</s>=3722
UI/ChatPanel/TooltipConfirmation,按下回车键进行确认，按下“Esc”键取消。 /// Press Enter to confirm or Esc to cancel=3723
UI/ChatPanel/TooltipPlayerName,开始输入名字 /// Begin typing a name=3724
UI/ChatPanel/UnknownCommandMessage,无法识别的斜杠命令。输入/help显示全部斜杠命令列表。 /// Unknown slash command. Type /help to list slash commands.=3725
UI/ChatPanel/WhoMessage,<s val="BattleChatSystem">%chatName%中的成员：</n><s val="%chatStyle%">%chatMembers%</s> /// <s val="BattleChatSystem">Showing members for %chatName%:</n><s val="%chatStyle%">%chatMembers%</s>=3726
UI/ChatPanel/WhoMessageDelimiter,，=3727
UI/ChatPanel/WhoMessageName,<a name="PresenceId" href="%presenceId%">%userName%</a>=3728
UI/ChatPanel/WhoMessageUnavailable,<s val="#ColorChatSystem">成员列表不可用。</s> /// <s val="#ColorChatSystem">Member list unavailable.</s>=3729
UI/ChatPanel/WhoMessageUnavailableUntilLevel,在玩家等级达到%level%级之前无法使用成员列表命令。 /// Member list command unavailable until player level %level%.=3730
UI/ChatPrivacyCheckBoxFriendChat,只接收来自好友的聊天消息 /// Only allow friends to send me messages=3731
UI/ChatPrivacyCheckBoxFriendInvite,只允许好友向我发出邀请 /// Only allow friends to send me invites=3732
UI/ChatPrivacyCheckBoxGameStatus,游戏时自动将在线状态设置为忙碌 /// Set status to Busy when playing a game=3733
UI/ChatPrivacyCheckBoxLocalPlayerFinder,开启附近的玩家功能 /// Enable Players Near You List=3734
UI/ChatPrivacyLabel,隐私设置 /// Privacy=3735
UI/ChatPrivacyToolTipFriendChat,<c val="ffffff">聊天消息过滤：</c><n/>开启该选项将拒绝所有来自非好友列表中玩家所发来的聊天消息。 /// <c val="ffffff">Chat Message Privacy:</c><n/>When enabled, all chat messages from players not on your friends list will be rejected.=3736
UI/ChatPrivacyToolTipFriendInvite,<c val="ffffff">邀请过滤：</c><n/>开启该选项将拒绝所有来自非好友列表中玩家所发来的组队、游戏及聊天频道邀请。 /// <c val="ffffff">Invite Privacy:</c><n/>When enabled, all party, game, and chat channel invites from players not on your friends list will be rejected.=3737
UI/ChatPrivacyToolTipGameStatus,<c val="ffffff">自动设置忙碌：</c><n/>开启该选项后，每次进入游戏，您的战网在线状态都会被自动设置为忙碌。在游戏过程中，消息提示和来自比赛外的聊天消息将会禁用。返回主界面时，状态将自动恢复。 /// <c val="ffffff">Automatic Busy Status:</c><n/>When enabled, your status will be automatically set to Busy while playing matches. While in a match, features such as toasts and in-line chat from outside the match will be suppressed.  When you return to the main menu, your status will be restored to its previous setting.=3738
UI/ChatPrivacyToolTipLocalPlayerFinder,<c val="ffffff">附近的玩家：</c><n/>开启该选项将允许您看到目前在线的同网络玩家。这些玩家将会以角色名称显示。禁用该选项您将看不到同网络的其他玩家，同时其他玩家也将无法找到您。<n/><n/>注意：该功能需要在开启/关闭后一段时间才能生效。 /// <c val="ffffff">Players Near You:</c><n/>When enabled, this feature allows you to see other players on your network who are currently online. These players will be displayed by their character ID. Disabling this feature prevents both you from seeing other players on your network and them from seeing you.<n/><n/>Note: Toggling this feature may require some time to take effect.=3739
UI/ChatRecipientFriend,（好友） /// (Friend)=3740
UI/ChatRecipientGameParticipant,（游戏） /// (Game)=3741
UI/ChatRecipientPartyMember,（队伍） /// (Party)=3742
UI/ChatSessionContextMenuFilterChat,过滤聊天 /// Filter Chat=3743
UI/ChatSessionContextMenuLeaveAllWhispers,离开所有密语 /// Leave All Whispers=3744
UI/ChatSessionContextMenuLeaveChat,退出聊天 /// Leave Chat=3745
UI/ChatSessionContextMenuLeaveWhisper,离开%name% /// Leave %name%=3746
UI/ChatSessionContextMenuLineBreak,=3747
UI/ChatSessionContextMenuUnfilterChat,取消过滤聊天 /// Unfilter Chat=3748
UI/ChatSessionContextMenuViewMembers,查看成员 /// View Members=3749
UI/ChatTimestamps,显示时间戳 /// Show Timestamps=3750
UI/ChatTimestampsTooltip,<c val="ffffff">显示时间戳：</c><n/>开启该选项会在聊天信息中显示时间戳。<n/>注意：只有新消息会显示时间戳。 /// <c val="ffffff">Show Timestamps:</c><n/>When enabled, timestamps will appear in chat.<n/>Note: only new chat messages will have timestamps.=3751
UI/ChatToolTipEnableAlliedChat,<c val="ffffff">启用盟友聊天：</c><n/>当您启用该选项，您会在游戏开始时自动加入盟友聊天。您可以在游戏开始时开启或关闭这项功能。 /// <c val="ffffff">Enable Allied Chat:</c><n/>When enabled you will automatically join Allied Chat at the start of the game. This option can be toggled at the beginning of the game.=3752
UI/Chat_Control,聊天(<h/>C) /// <h/>Chat=3753
UI/Clan_Control,战队(<h/>L) /// C<h/>lan=3754
UI/Clear,清空 /// Clear=3755
UI/ClearSelectionTip,清空选项<n/><k val="ObserveClearSelection"/> /// Clear Selection<n/><k val="ObserveClearSelection"/>=3756
UI/ClickThroughMinimapOption,右键点击忽略微缩地图 /// Right-Click Through Minimap=3757
UI/Close,关闭 /// Close=3758
UI/Close_Control,关闭(<h/>C) /// <h/>CLOSE=3759
UI/Club/Ranknames/Member,成员 /// Member=3760
UI/Club/Ranknames/NotSet,无排名 /// No Rank=3761
UI/Club/Ranknames/Officer,官员 /// Officer=3762
UI/Club/Ranknames/Owner,组长 /// Owner=3763
UI/ClubPanel/ClubPanelEmptyChatBubbleText,点击下方的"寻找"按钮来浏览和搜索讨论组。 /// Click the "Find" button below to browse and search for groups=3764
UI/ClubPanel/ClubPanelEmptyDesc,讨论组和战队允许您看到其他在线的成员，了解时下的新闻并在聊天频道中参与讨论。使用下方按钮来寻找或创建讨论组或战队。 /// Groups & Clans allow you to chat in moderated channels, to read the latest news, and to see members who are online.  Use the buttons below to find a group or to create a group or clan.=3765
UI/ClubPanel/ClubPanelEmptySubTitle,讨论组和战队 /// Groups & Clans=3766
UI/ClubPanel/ClubPanelNoClanText,您不是战队成员。 /// You are not a member of a clan=3767
UI/ClubPanel/PlayersOnline,%0%名玩家在聊天，%1%名玩家在线 /// %0% in Chat, %1% <lang rule="plural">player,players</lang> Online=3768
UI/CmdTabDisable,关闭Cmd-Tab快捷键 /// Disable Cmd-Tab Shortcut=3769
UI/CollapseAll,全部折叠 /// Collapse All=3770
UI/ColorBlindColorByAllianceTip,将单位的颜色设置为在颜色选项菜单的色盲同盟颜色中所选择的颜色。<n/><k val="MinimapColors"/> /// Color units using colors selected in the Color Blind Alliance Colors section of the Color Options Menu.<n/><k val="MinimapColors"/>=3771
UI/ColorBlindModeOption,色盲模式 /// Color Blind Mode=3772
UI/ColorByAllianceTip,将单位的颜色设置为在颜色选项菜单的同盟颜色中所选择的颜色。<n/><k val="MinimapColors"/> /// Color units using colors selected in the Alliance Colors section of the Color Options Menu.<n/><k val="MinimapColors"/>=3773
UI/ColorByPlayerTip,将单位的颜色设为玩家颜色。<n/><k val="MinimapColors"/>=3774
UI/ColorByTeamTip,单位显示为战队颜色。<n/><k val="MinimapColors"/>=3775
UI/ColorOptions/ColorBlindAllianceColorHeader,色盲同盟颜色 /// Color Blind Alliance Colors=3776
UI/ColorOptions/ColorBlindHeader,色盲模式 /// Color Blind Mode=3777
UI/ColorOptions/OverrideColorAlly,盟友颜色： /// Ally color:=3778
UI/ColorOptions/OverrideColorBlindAlly,盟友颜色： /// Ally color:=3779
UI/ColorOptions/OverrideColorBlindHostile,敌对颜色： /// Hostile color:=3780
UI/ColorOptions/OverrideColorBlindNeutral,中立颜色： /// Neutral color:=3781
UI/ColorOptions/OverrideColorBlindSelf,你的颜色： /// Your color:=3782
UI/ColorOptions/OverrideColorBlindSelfMinimap,你的微缩地图颜色： /// Your minimap color:=3783
UI/ColorOptions/OverrideColorHostile,敌对颜色： /// Hostile color:=3784
UI/ColorOptions/OverrideColorNeutral,中立颜色： /// Neutral color:=3785
UI/ColorOptions/OverrideColorSelf,你的颜色： /// Your color:=3786
UI/ColorOptions/OverrideColorSelfMinimap,你的微缩地图颜色： /// Your minimap color:=3787
UI/ColorOptions/StandardAllianceColorHeader,同盟颜色 /// Alliance Colors=3788
UI/ColorOptions/TeamColorHeader,队伍颜色 /// Team Color=3789
UI/ColorOptionsTooltips/AdditionalTeamColor,<c val="ffffff">强化队伍颜色纹理：</c><n/>开启后，为选定的效果和单位启用强化队伍颜色纹理。需要重启。 /// <c val="ffffff">Additional Team Color Textures:</c><n/>When enabled, uses textures with additional team color for selected effects and units. Requires a restart.=3790
