Actor/EditorSuffix/GuideVisualQuadSplat,(미사용) /// (Deprecated)=0
Requirement/Name/HaveNexus,연결체 있음 /// Have Nexus=8395
Requirement/Name/HaveNuke,핵 있음 /// Have Nuke=8396
Requirement/Name/HaveNydusNetwork,땅굴망 있음 /// Have Nydus Network=8397
Requirement/Name/HaveOrganicCarapace,땅굴 발톱 있음 /// Have Tunneling Claws=8398
Requirement/Name/HavePlanetaryFortress,행성 요새 있음 /// Have Planetary Fortress=8399
Requirement/Name/HaveRewardThorSkin,HaveRewardThorSkin /// HaveRewardThorSkin=8400
Requirement/Name/HaveRoboticsBay,로봇공학 지원소 있음 /// Have Robotics Bay=8401
Requirement/Name/HaveRoboticsFa,로봇공학 시설 있음 /// Have Robotics Fa=8402
Requirement/Name/HaveShadowOps,특수 작전실 있음 /// Have Shadow Ops=8403
Requirement/Name/HaveSpawningPool,산란못 있음 /// Have Spawning Pool=8404
Requirement/Name/HaveSpire,둥지탑 있음 /// Have Spire=8405
Requirement/Name/HaveStargate,우주관문 있음 /// Have Stargate=8406
Requirement/Name/HaveStarport,우주공항 있음 /// Have Starport=8407
Requirement/Name/HaveTemplarArchives,기사단 기록보관소 있음 /// Have Templar Archives=8408
Requirement/Name/HaveTwilightCouncil,황혼 의회 있음 /// Have Twilight Council=8409
Requirement/Name/HaveUltraliskCavern,울트라리스크 동굴 있음 /// Have Ultralisk Cavern=8410
Requirement/Name/HaveWeaponRefit,무기 재장비 있음 /// Have Weapon Refit=8411
Requirement/Name/JumboBunkerNotResearched,거대 벙커 연구 안 됨 /// Jumbo Bunker Not Researched=8412
Requirement/Name/LearnAdrenalGlands,아드레날린 분비선 습득 /// Learn Adrenal Glands=8413
Requirement/Name/LearnAnabolicSynthesis,합성 동화 작용 습득 /// Learn Anabolic Synthesis=8414
Requirement/Name/LearnBattlecruiserEnergyUpgrade,전투순양함 에너지 업그레이드 습득 /// Learn Battlecruiser Energy Upgrade=8415
Requirement/Name/LearnBattlecruiserSpecializations,전장 변환 습득 /// Learn Battlefield Conversion=8416
Requirement/Name/LearnBlink,점멸 습득 /// Learn Blink=8417
Requirement/Name/LearnBurrow,잠복 습득 /// Learn Burrow=8418
Requirement/Name/LearnCaduceusReactor,카두세우스 반응로 습득 /// Learn Caduceus Reactor=8419
Requirement/Name/LearnCentrificalHooks,원심 고리 습득 /// Learn Centrifugal Hooks=8420
Requirement/Name/LearnCharge,돌진 습득 /// Learn Charge=8421
Requirement/Name/LearnChitinousPlating,키틴질 장갑 습득 /// Learn Chitinous Plating=8422
Requirement/Name/LearnCloakingField,은폐장 습득 /// Learn Cloaking Field=8423
Requirement/Name/LearnColossusReactor,거신 반응로 습득 /// Learn Colossus Reactor=8424
Requirement/Name/LearnDurableMaterials,내구력 증진 습득 /// Learn Durable Materials=8425
Requirement/Name/LearnExtendedThermalLance,열 광선 사거리 습득 /// Learn Extended Thermal Lance=8426
Requirement/Name/LearnGhostEnergyUpgrade,유령 에너지 업그레이드 습득 /// Learn Ghost Energy Upgrade=8427
Requirement/Name/LearnGlialReconstitution,신경 재구성 습득 /// Learn Glial Reconstitution=8428
Requirement/Name/LearnGraviticBooster,중력 가속 습득 /// Learn Gravitic Booster=8429
Requirement/Name/LearnGraviticDrive,중력 구동 습득 /// Learn Gravitic Drive=8430
Requirement/Name/LearnHallucination,환상 습득 /// Learn Hallucination=8431
Requirement/Name/LearnHighCapacityBarrels,지옥불 조기점화기 습득 /// Learn Infernal Pre-igniter=8432
Requirement/Name/LearnHighTemplarEnergyUpgrade,고위 기사 에너지 업그레이드 습득 /// Learn High Templar Energy Upgrade=8433
Requirement/Name/LearnHunterSeekerMissiles,추적 미사일 습득 /// Learn Seeker Missiles=8434
Requirement/Name/LearnIncreasedRange,사거리 증가 습득 /// Learn Increased Range=8435
Requirement/Name/LearnInfestorBurrow,감염충 잠복 습득 /// Learn Infestor Burrow=8436
Requirement/Name/LearnInfestorEnergyUpgrade,감염충 에너지 업그레이드 습득 /// Learn Infestor Energy Upgrade=8437
Requirement/Name/LearnInterceptorLaunchSpeedUpgrade,요격기 발사 속도 업그레이드 습득 /// Learn Interceptor Launch Speed Upgrade=8438
Requirement/Name/LearnMedivacEnergyUpgrade,의료선 에너지 업그레이드 습득 /// Learn Medivac Energy Upgrade=8439
Requirement/Name/LearnMetabolicBoost,대사 촉진 습득 /// Learn Metabolic Boost=8440
Requirement/Name/LearnMuscularAugments,근육 보강 습득 /// Learn Muscular Augments=8441
Requirement/Name/LearnNeosteelFrame,신소재 강철틀 습득 /// Learn Neosteel Frame=8442
Requirement/Name/LearnNeuralParasite,신경 기생충 습득 /// Learn Neural Parasite=8443
Requirement/Name/LearnObverseIncubation,역부화 습득 /// Learn Obverse Incubation=8444
Requirement/Name/LearnOrganicCarapace,유기 갑피 습득 /// Learn Organic Carapace=8445
Requirement/Name/LearnPersonnelCloaking,개인 은폐 습득 /// Learn Personnel Cloaking=8446
Requirement/Name/LearnPneumatizedCarapace,기낭 갑피 습득 /// Learn Pneumatized Carapace=8447
Requirement/Name/LearnProtossAirArmor1,프로토스 공중 장갑 1단계 습득 /// Learn Protoss Air Armor1=8448
Requirement/Name/LearnProtossAirArmor2,프로토스 공중 장갑 2단계 습득 /// Learn Protoss Air Armor2=8449
Requirement/Name/LearnProtossAirArmor3,프로토스 공중 장갑 3단계 습득 /// Learn Protoss Air Armor3=8450
Requirement/Name/LearnProtossAirWeapon1,프로토스 공중 무기 1단계 습득 /// Learn Protoss Air Weapon1=8451
Requirement/Name/LearnProtossAirWeapon2,프로토스 공중 무기 2단계 습득 /// Learn Protoss Air Weapon2=8452
Requirement/Name/LearnProtossAirWeapon3,프로토스 공중 무기 3단계 습득 /// Learn Protoss Air Weapon3=8453
Requirement/Name/LearnProtossGroundArmor1,프로토스 지상 장갑 1단계 습득 /// Learn Protoss Ground Armor1=8454
Requirement/Name/LearnProtossGroundArmor2,프로토스 지상 장갑 2단계 습득 /// Learn Protoss Ground Armor2=8455
Requirement/Name/LearnProtossGroundArmor3,프로토스 지상 장갑 3단계 습득 /// Learn Protoss Ground Armor3=8456
Requirement/Name/LearnProtossGroundWeapon1,프로토스 지상 무기 1단계 습득 /// Learn Protoss Ground Weapon1=8457
Requirement/Name/LearnProtossGroundWeapon2,프로토스 지상 무기 2단계 습득 /// Learn Protoss Ground Weapon2=8458
Requirement/Name/LearnProtossGroundWeapon3,프로토스 지상 무기 3단계 습득 /// Learn Protoss Ground Weapon3=8459
Requirement/Name/LearnProtossShield1,프로토스 보호막 1단계 습득 /// Learn Protoss Shield1=8460
Requirement/Name/LearnProtossShield2,프로토스 보호막 2단계 습득 /// Learn Protoss Shield2=8461
Requirement/Name/LearnProtossShield3,프로토스 보호막 3단계 습득 /// Learn Protoss Shield3=8462
Requirement/Name/LearnPsiStorm,사이오닉 폭풍 습득 /// Learn Psi Storm=8463
Requirement/Name/LearnPunisherGrenades,충격탄 습득 /// Learn Concussive Shells=8464
Requirement/Name/LearnRavenEnergyUpgrade,밤까마귀 에너지 업그레이드 습득 /// Learn Raven Energy Upgrade=8465
Requirement/Name/LearnReaperSpeed,사신 속도 습득 /// Learn Reaper Speed=8466
Requirement/Name/LearnShieldWall,보호벽 습득 /// Learn Shield Wall=8467
Requirement/Name/LearnSiegeTech,공성 기술 습득 /// Learn Siege Tech=8468
Requirement/Name/LearnStimpack,전투 자극제 습득 /// Learn Stimpack=8469
Requirement/Name/LearnStrikeCannons,타격포 습득 /// Learn Strike Cannons=8470
Requirement/Name/LearnTerranBuildingArmor,테란 건물 방어 습득 /// Learn Terran Building Armor=8471
Requirement/Name/LearnTerranDefenseRangeBonus,테란 방어 건물 사거리 확장 습득 /// Learn Terran Defense Range Bonus=8472
Requirement/Name/LearnTerranInfantryArmor1,테란 보병 장갑 1단계 습득 /// Learn Terran Infantry Armor1=8473
Requirement/Name/LearnTerranInfantryArmor2,테란 보병 장갑 2단계 습득 /// Learn Terran Infantry Armor2=8474
Requirement/Name/LearnTerranInfantryArmor3,테란 보병 장갑 3단계 습득 /// Learn Terran Infantry Armor3=8475
Requirement/Name/LearnTerranInfantryWeapon1,테란 보병 무기 1단계 습득 /// Learn Terran Infantry Weapon1=8476
Requirement/Name/LearnTerranInfantryWeapon2,테란 보병 무기 2단계 습득 /// Learn Terran Infantry Weapon2=8477
Requirement/Name/LearnTerranInfantryWeapon3,테란 보병 무기 3단계 습득 /// Learn Terran Infantry Weapon3=8478
Requirement/Name/LearnTerranShipArmor1,테란 우주선 장갑 1단계 습득 /// Learn Terran Ship Armor1=8479
Requirement/Name/LearnTerranShipArmor2,테란 우주선 장갑 2단계 습득 /// Learn Terran Ship Armor2=8480
Requirement/Name/LearnTerranShipArmor3,테란 우주선 장갑 3단계 습득 /// Learn Terran Ship Armor3=8481
Requirement/Name/LearnTerranShipWeapon1,테란 우주선 무기 1단계 습득 /// Learn Terran Ship Weapon1=8482
Requirement/Name/LearnTerranShipWeapon2,테란 우주선 무기 2단계 습득 /// Learn Terran Ship Weapon2=8483
Requirement/Name/LearnTerranShipWeapon3,테란 우주선 무기 3단계 습득 /// Learn Terran Ship Weapon3=8484
Requirement/Name/LearnTerranVehicleArmor1,테란 차량 장갑 1단계 습득 /// Learn Terran Vehicle Armor1=8485
Requirement/Name/LearnTerranVehicleArmor2,테란 차량 장갑 2단계 습득 /// Learn Terran Vehicle Armor2=8486
Requirement/Name/LearnTerranVehicleArmor3,테란 차량 장갑 3단계 습득 /// Learn Terran Vehicle Armor3=8487
Requirement/Name/LearnTerranVehicleWeapon1,테란 차량 무기 1단계 습득 /// Learn Terran Vehicle Weapon1=8488
Requirement/Name/LearnTerranVehicleWeapon2,테란 차량 무기 2단계 습득 /// Learn Terran Vehicle Weapon2=8489
Requirement/Name/LearnTerranVehicleWeapon3,테란 차량 무기 3단계 습득 /// Learn Terran Vehicle Weapon3=8490
Requirement/Name/LearnTunnelingClaws,땅굴 발톱 습득 /// Learn Tunneling Claws=8491
Requirement/Name/LearnVentralSacs,배주머니 습득 /// Learn Ventral Sacs=8492
Requirement/Name/LearnVikingMissileUpgrade,바이킹 미사일 업그레이드 습득 /// Learn Viking Missile Upgrade=8493
Requirement/Name/LearnVoidRaySpeedUpgrade,공허 포격기 속도 업그레이드 습득 /// Learn Void Ray Speed Upgrade=8494
Requirement/Name/LearnWarpGate,차원 관문 습득 /// Learn Warp Gate=8495
Requirement/Name/LearnZergFlyerArmor1,저그 비행체 장갑 1단계 습득 /// Learn Zerg Flyer Armor1=8496
Requirement/Name/LearnZergFlyerArmor2,저그 비행체 장갑 2단계 습득 /// Learn Zerg Flyer Armor2=8497
Requirement/Name/LearnZergFlyerArmor3,저그 비행체 장갑 3단계 습득 /// Learn Zerg Flyer Armor3=8498
Requirement/Name/LearnZergFlyerAttack1,저그 비행체 공격 1단계 습득 /// Learn Zerg Flyer Attack1=8499
Requirement/Name/LearnZergFlyerAttack2,저그 비행체 공격 2단계 습득 /// Learn Zerg Flyer Attack2=8500
Requirement/Name/LearnZergFlyerAttack3,저그 비행체 공격 3단계 습득 /// Learn Zerg Flyer Attack3=8501
Requirement/Name/LearnZergGroundArmor1,저그 지상 장갑 1단계 습득 /// Learn Zerg Ground Armor1=8502
Requirement/Name/LearnZergGroundArmor2,저그 지상 장갑 2단계 습득 /// Learn Zerg Ground Armor2=8503
Requirement/Name/LearnZergGroundArmor3,저그 지상 장갑 3단계 습득 /// Learn Zerg Ground Armor3=8504
Requirement/Name/LearnZergMeleeWeapon1,저그 근접 무기 1단계 습득 /// Learn Zerg Melee Weapon1=8505
Requirement/Name/LearnZergMeleeWeapon2,저그 근접 무기 2단계 습득 /// Learn Zerg Melee Weapon2=8506
Requirement/Name/LearnZergMeleeWeapon3,저그 근접 무기 3단계 습득 /// Learn Zerg Melee Weapon3=8507
Requirement/Name/LearnZergMissileWeapon1,저그 발사 무기 1단계 습득 /// Learn Zerg Missile Weapon1=8508
Requirement/Name/LearnZergMissileWeapon2,저그 발사 무기 2단계 습득 /// Learn Zerg Missile Weapon2=8509
Requirement/Name/LearnZergMissileWeapon3,저그 발사 무기 3단계 습득 /// Learn Zerg Missile Weapon3=8510
Requirement/Name/MothershipRequirements,모선 요구사항 /// Mothership Requirements=8511
Requirement/Name/NotOnCreep,점막 위 아님 /// Not On Creep=8512
Requirement/Name/NotUnderConstruction,건설 중 아님 /// Not Under Construction=8513
Requirement/Name/OnCreep,점막 위 /// On Creep=8514
Requirement/Name/PlayerHasTunnelingClaws,플레이어가 땅굴 발톱 능력 습득 /// Player Has Tunneling Claws=8515
Requirement/Name/ShowIfHaveBarrAddOnParent,부모 병영에 부속건물 있으면 표시 /// Show If Have Barr Add On Parent=8516
Requirement/Name/ShowIfHaveFactAddOnParent,부모 군수공장 부속건물 있으면 표시 /// Show If Have Fact Add On Parent=8517
Requirement/Name/ShowIfHaveNoAddOnParent,부모 부속건물 없으면 표시 /// Show If Have No Add On Parent=8518
Requirement/Name/ShowIfHaveStarportAddOnParent,부모 우주공항에 부속건물 있으면 표시 /// Show If Have Starport Add On Parent=8519
Requirement/Name/TrainNuke,핵 훈련 /// Train Nuke=8520
Requirement/Name/UseBattlecruiserSpecializations,전투순양함 전문화 사용 /// Use Battlecruiser Specializations=8521
Requirement/Name/UseBlink,점멸 사용 /// Use Blink=8522
Requirement/Name/UseBurrow,잠복 사용 /// Use Burrow=8523
Requirement/Name/UseCharge,돌진 사용 /// Use Charge=8524
Requirement/Name/UseCloakingField,은폐장 사용 /// Use Cloaking Field=8525
Requirement/Name/UseFighterMode,전투기 모드 사용 /// Use Fighter Mode=8526
Requirement/Name/UseGravitonCatapult,중력자 발사기 사용 /// Use Graviton Catapult=8527
Requirement/Name/UseHallucination,환상 사용 /// Use Hallucination=8528
Requirement/Name/UseHighCapacityBarrels,대용량 방사기 사용 /// Use High Capacity Barrels=8529
Requirement/Name/UseHunterSeekerMissiles,추적 미사일 사용 /// Use Seeker Missiles=8530
Requirement/Name/UseNeuralParasite,신경 기생충 사용 /// Use Neural Parasite=8531
Requirement/Name/UseObverseIncubation,역부화 사용 /// Use Obverse Incubation=8532
Requirement/Name/UseOverlordTransport,대군주 수송 사용 /// Use Overlord Transport=8533
Requirement/Name/UseOverseerMorph,감시군주 변태 사용 /// Use Overseer Morph=8534
Requirement/Name/UsePersonalCloaking,개인 은폐 사용 /// Use Personal Cloaking=8535
Requirement/Name/UsePsiStorm,사이오닉 폭풍 사용 /// Use Psi Storm=8536
Requirement/Name/UsePunisherGrenades,충격탄 사용 /// Use Concussive Shells=8537
Requirement/Name/UseReaperSpeed,사신 속도 사용 /// Use Reaper Speed=8538
Requirement/Name/UseShieldWall,보호벽 사용 /// Use Shield Wall=8539
Requirement/Name/UseSiegeMode,공성 모드 사용 /// Use Siege Mode=8540
Requirement/Name/UseStimpack,전투 자극제 사용 /// Use Stimpack=8541
Requirement/Name/UseStrikeCannons,타격포 사용 /// Use Strike Cannons=8542
Requirement/Name/UseSwarmInfestation,무리 감염 사용 /// Use Swarm Infestation=8543
Requirement/Name/UseWarpGate,차원 관문 사용 /// Use Warp Gate=8544
RequirementNode/Name/0,0 /// 0=8545
RequirementNode/Name/1,1 /// 1=8546
RequirementNode/Name/2,2 /// 2=8547
RequirementNode/Name/20,20 /// 20=8548
RequirementNode/Name/3,3 /// 3=8549
RequirementNode/Name/4,4 /// 4=8550
RequirementNode/Name/8,8 /// 8=8551
RequirementNode/Name/9,9 /// 9=8552
RequirementNode/Name/AllowUnitColossus,AllowUnit(Colossus) /// AllowUnit(Colossus)=8553
RequirementNode/Name/AllowUnitImmortal,AllowUnit(Immortal) /// AllowUnit(Immortal)=8554
RequirementNode/Name/AllowUnitMarine,AllowUnit(Marine) /// AllowUnit(Marine)=8555
RequirementNode/Name/AllowUnitObserver,AllowUnit(Observer) /// AllowUnit(Observer)=8556
RequirementNode/Name/AllowUnitPhoenix,AllowUnit(Phoenix) /// AllowUnit(Phoenix)=8557
RequirementNode/Name/And3124702931CountUnitSpawningPoolCompleteOnlyTechTreeCheatCountUpgradeObverseIncubationCompleteOnlyTechTreeCheat,CountUnit(SpawningPool,CompleteOnly)[TechTreeCheat] && {산란못}CountUpgrade(ObverseIncubation,CompleteOnly)[TechTreeCheat] /// CountUnit(SpawningPool,CompleteOnly)[TechTreeCheat] && {Spawning Pool}CountUpgrade(ObverseIncubation,CompleteOnly)[TechTreeCheat]=8558
RequirementNode/Name/AndAllowUnitMarineNotCountUpgradeStimpackQueuedOrBetter,AllowUnit(Marine) && !CountUpgrade(Stimpack,QueuedOrBetter) /// AllowUnit(Marine) && !CountUpgrade(Stimpack,QueuedOrBetter)=8559
RequirementNode/Name/AndCountUnitAlias_TechLabCompleteOnlyAtUnit2589852481TechTreeCheatCountUnitFusionCoreCompleteOnlyTechTreeCheat,CountUnit(Alias_TechLab,CompleteOnlyAtUnit){부착된 기술실}[TechTreeCheat] && CountUnit(FusionCore,CompleteOnly)[TechTreeCheat] /// CountUnit(Alias_TechLab,CompleteOnlyAtUnit){Attached Tech Lab}[TechTreeCheat] && CountUnit(FusionCore,CompleteOnly)[TechTreeCheat]=8560
RequirementNode/Name/AndCountUnitBarracksTechLabCompleteOnlyAtUnit2589852481TechTreeCheatCountUnitGhostAcademyCompleteOnlyTechTreeCheat,CountUnit(BarracksTechLab,CompleteOnlyAtUnit){부착된 기술실}[TechTreeCheat] && CountUnit(GhostAcademy,CompleteOnly)[TechTreeCheat] /// CountUnit(BarracksTechLab,CompleteOnlyAtUnit){Attached Tech Lab}[TechTreeCheat] && CountUnit(GhostAcademy,CompleteOnly)[TechTreeCheat]=8561
RequirementNode/Name/AndCountUnitFactoryTechLabCompleteOnlyAtUnit2589852481TechTreeCheatCountUnitArmoryCompleteOnlyTechTreeCheat,CountUnit(FactoryTechLab,CompleteOnlyAtUnit){부착된 기술실}[TechTreeCheat] && CountUnit(Armory,CompleteOnly)[TechTreeCheat] /// CountUnit(FactoryTechLab,CompleteOnlyAtUnit){Attached Tech Lab}[TechTreeCheat] && CountUnit(Armory,CompleteOnly)[TechTreeCheat]=8562
RequirementNode/Name/AndCountUnitFleetBeaconCompleteOnlyTechTreeCheatEq1228785331CountUnitMothershipQueuedOrBetter0,CountUnit(FleetBeacon,CompleteOnly)[TechTreeCheat] && CountUnit(Mothership,QueuedOrBetter) == {모선 없음}0 /// CountUnit(FleetBeacon,CompleteOnly)[TechTreeCheat] && CountUnit(Mothership,QueuedOrBetter) == {No Mothership}0=8563
RequirementNode/Name/AndEq1004646809CountUpgradeTerranShipWeaponsLevel2CompleteOnly1,CountUpgrade(TerranShipWeaponsLevel2,CompleteOnly) == {테란 우주선 무기 2단계}1 && () /// CountUpgrade(TerranShipWeaponsLevel2,CompleteOnly) == {Terran Ship Weapons Level 2}1 && ()=8564
RequirementNode/Name/AndEq1121594928CountUpgradeTerranVehicleArmorsLevel1CompleteOnly1,CountUpgrade(TerranVehicleArmorsLevel1,CompleteOnly) == {테란 차량 장갑 1단계}1 && () /// CountUpgrade(TerranVehicleArmorsLevel1,CompleteOnly) == {Terran Vehicle Plating Level 1}1 && ()=8565
RequirementNode/Name/AndEq1429793488CountUpgradeTerranInfantryWeaponsLevel1CompleteOnly1CountUnitArmoryCompleteOnlyTechTreeCheat,CountUpgrade(TerranInfantryWeaponsLevel1,CompleteOnly) == {테란 보병 무기 1단계}1 && CountUnit(Armory,CompleteOnly)[TechTreeCheat] /// CountUpgrade(TerranInfantryWeaponsLevel1,CompleteOnly) == {Terran Infantry Weapons Level 1}1 && CountUnit(Armory,CompleteOnly)[TechTreeCheat]=8566
RequirementNode/Name/AndEq1491800815CountUpgradeProtossAirWeaponsLevel1CompleteOnly1CountUnitFleetBeaconCompleteOnlyTechTreeCheat,CountUpgrade(ProtossAirWeaponsLevel1,CompleteOnly) == {프로토스 공중 무기 1단계}1 && CountUnit(FleetBeacon,CompleteOnly)[TechTreeCheat] /// CountUpgrade(ProtossAirWeaponsLevel1,CompleteOnly) == {Protoss Air Weapons Level 1}1 && CountUnit(FleetBeacon,CompleteOnly)[TechTreeCheat]=8567
RequirementNode/Name/AndEq1542947369CountUpgradeZergMeleeWeaponsLevel1CompleteOnly1CountUnitAlias_LairCompleteOnly1515591279TechTreeCheat,CountUpgrade(ZergMeleeWeaponsLevel1,CompleteOnly) == {저그 근접 공격 1단계}1 && CountUnit(Alias_Lair,CompleteOnly){Lair}[TechTreeCheat] /// CountUpgrade(ZergMeleeWeaponsLevel1,CompleteOnly) == {Zerg Melee Attacks Level 1}1 && CountUnit(Alias_Lair,CompleteOnly){Lair}[TechTreeCheat]=8568
