AUTHENTICATION_BETA_REGION,베타 /// Beta=0
UI/BattleUser/LookingForMoreChannelInfo,<s val="SocialTooltipStatusCategory">참가 채널:</s>  /// <s val="SocialTooltipStatusCategory"><lang rule="plural" val="%numChannel%">In Channel,In Channels</lang>:</s>=2128
UI/BattleUser/LookingForMoreFormat_Names,%names% 님이 파티원을 찾고 있습니다. /// %names% are looking for more.=2129
UI/BattleUser/LookingForMoreFormat_NamesAndOthers,<s val="HomeLFPNameText">%names%</s> 님 외 <s val="HomeLFPNameText">%others%</s>이 파티원을 찾고 있습니다. /// <s val="HomeLFPNameText">%names%</s> and <s val="HomeLFPNameText">%others%</s> are looking for more.=2130
UI/BattleUser/LookingForMoreFormat_NamesNoOthers1,<s val="HomeLFPNameText">%n0%</s> /// <s val="HomeLFPNameText">%n0%</s>=2131
UI/BattleUser/LookingForMoreFormat_NamesNoOthers2,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s> /// <s val="HomeLFPNameText">%n0%</s> and <s val="HomeLFPNameText">%n1%</s>=2132
UI/BattleUser/LookingForMoreFormat_NamesNoOthers3,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s> /// <s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s> and <s val="HomeLFPNameText">%n2%</s>=2133
UI/BattleUser/LookingForMoreFormat_NamesNoOthers4,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>, <s val="HomeLFPNameText">%n3%</s> /// <s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s> and <s val="HomeLFPNameText">%n3%</s>=2134
UI/BattleUser/LookingForMoreFormat_NamesWithOthers1,<s val="HomeLFPNameText">%n0%</s> /// <s val="HomeLFPNameText">%n0%</s>=2135
UI/BattleUser/LookingForMoreFormat_NamesWithOthers2,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s> /// <s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>=2136
UI/BattleUser/LookingForMoreFormat_NamesWithOthers3,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s> /// <s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>=2137
UI/BattleUser/LookingForMoreFormat_NamesWithOthers4,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>, <s val="HomeLFPNameText">%n3%</s> /// <s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>, <s val="HomeLFPNameText">%n3%</s>=2138
UI/BattleUser/LookingForMoreFormat_None,=2139
UI/BattleUser/LookingForMoreFormat_Others,%others%이 파티원을 찾고 있습니다.=2140
UI/BattleUser/LookingForMoreFormat_OthersPlural,다른 %c%명 /// %c% others=2141
UI/BattleUser/LookingForMoreFormat_OthersSingular,다른 1명 /// 1 other=2142
UI/BattleUser/LookingForMoreFullFormat_Names,%names% 님이 파티를 완성하기 위해 당신을 필요로 합니다! /// %names% need you for a full party!=2143
UI/BattleUser/LookingForMoreFullFormat_NamesAndOthers,%names% 님 외 %others%이 파티를 완성하기 위해 당신을 필요로 합니다! /// %names% and %others% need you for a full party!=2144
UI/BattleUser/LookingForMoreFullFormat_NamesNoOthers1,<s val="HomeLFPNameText">%n0%</s> /// <s val="HomeLFPNameText">%n0%</s>=2145
UI/BattleUser/LookingForMoreFullFormat_NamesNoOthers2,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s> /// <s val="HomeLFPNameText">%n0%</s> and <s val="HomeLFPNameText">%n1%</s>=2146
UI/BattleUser/LookingForMoreFullFormat_NamesNoOthers3,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s> /// <s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s> and <s val="HomeLFPNameText">%n2%</s>=2147
UI/BattleUser/LookingForMoreFullFormat_NamesNoOthers4,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>, <s val="HomeLFPNameText">%n3%</s> /// <s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s> and <s val="HomeLFPNameText">%n3%</s>=2148
UI/BattleUser/LookingForMoreFullFormat_NamesWithOthers1,<s val="HomeLFPNameText">%n0%</s> /// <s val="HomeLFPNameText">%n0%</s>=2149
UI/BattleUser/LookingForMoreFullFormat_NamesWithOthers2,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s> /// <s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>=2150
UI/BattleUser/LookingForMoreFullFormat_NamesWithOthers3,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s> /// <s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>=2151
UI/BattleUser/LookingForMoreFullFormat_NamesWithOthers4,<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>, <s val="HomeLFPNameText">%n3%</s> /// <s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>, <s val="HomeLFPNameText">%n3%</s>=2152
UI/BattleUser/LookingForMoreFullFormat_None,=2153
UI/BattleUser/LookingForMoreFullFormat_Others,%others%이 파티를 완성하기 위해 당신을 필요로 합니다!=2154
UI/BattleUser/LookingForMoreFullFormat_OthersPlural,다른 %c%명 /// %c% others=2155
UI/BattleUser/LookingForMoreFullFormat_OthersSingular,다른 1명 /// 1 other=2156
UI/BattleUser/LookingForPartyFormat,<s val="HomeLFPNameText">%name%</s> 님이 파티를 찾고 있습니다. /// <s val="HomeLFPNameText">%name%</s> is looking for a party.=2157
UI/BattleUser/PartyFormat_Names,<s val="SocialTooltipStatusCategory">파티:</s> %names% 님과 파티에 속해 있습니다. /// <s val="SocialTooltipStatusCategory">Party:</s> In a party with %names%.=2158
UI/BattleUser/PartyFormat_NamesAndOthers,<s val="SocialTooltipStatusCategory">파티:</s> %names% 님 외 %others%%Rjon(과,와) 파티에 속해 있습니다. /// <s val="SocialTooltipStatusCategory">Party:</s> In a party with %names% and %others%.=2159
UI/BattleUser/PartyFormat_NamesNoOthers1,%n0% /// %n0%=2160
UI/BattleUser/PartyFormat_NamesNoOthers2,%n0%, %n1% /// %n0% and %n1%=2161
UI/BattleUser/PartyFormat_NamesNoOthers3,%n0%, %n1%, %n2% /// %n0%, %n1% and %n2%=2162
UI/BattleUser/PartyFormat_NamesNoOthers4,%n0%, %n1%, %n2%, %n3% /// %n0%, %n1%, %n2% and %n3%=2163
UI/BattleUser/PartyFormat_NamesWithOthers1,%n0% /// %n0%=2164
UI/BattleUser/PartyFormat_NamesWithOthers2,%n0%, %n1% /// %n0%, %n1%=2165
UI/BattleUser/PartyFormat_NamesWithOthers3,%n0%, %n1%, %n2% /// %n0%, %n1%, %n2%=2166
UI/BattleUser/PartyFormat_NamesWithOthers4,%n0%, %n1%, %n2%, %n3% /// %n0%, %n1%, %n2%, %n3%=2167
UI/BattleUser/PartyFormat_None,<s val="SocialTooltipStatusCategory">파티:</s> 파티에 속해 있지 않습니다. /// <s val="SocialTooltipStatusCategory">Party:</s> Not in a party.=2168
UI/BattleUser/PartyFormat_Others,<s val="SocialTooltipStatusCategory">파티:</s> %others%%Rjon(과,와) 파티에 속해 있습니다. /// <s val="SocialTooltipStatusCategory">Party:</s> In a party with %others%.=2169
UI/BattleUser/PartyFormat_OthersPlural,다른 %c%명 /// %c% others=2170
UI/BattleUser/PartyFormat_OthersSingular,다른 1명 /// 1 other=2171
UI/BattleUser/PartyFormat_YourParty,내 파티에 속해 있습니다. /// In your party.=2172
UI/BattleUser/Silenced,<s val="SocialTooltipPenalty">이 플레이어는 현재 채팅 금지 상태로서, 친구 및 파티원에게만 메시지를 보낼 수 있습니다.</s> /// <s val="SocialTooltipPenalty">This player is currently silenced and can only speak to friends and party members.</s>=2173
UI/BattleUserContextMenuAcceptFriend,친구 초대 수락=2174
UI/BattleUserContextMenuAddFriend,친구 추가 /// Add Friend=2175
UI/BattleUserContextMenuBlockCommunication,대화 차단 /// Block Communication=2176
UI/BattleUserContextMenuBlockFriendRequests,친구 요청 차단 /// Block Friend Requests=2177
UI/BattleUserContextMenuCantInviteInDifferentParty,플레이어가 이미 파티에 속해 있습니다. /// This player is already in a party.=2178
UI/BattleUserContextMenuCantInviteInGame,이 플레이어는 게임 안에 있습니다. /// This player is in a game.=2179
UI/BattleUserContextMenuCantInviteInMyParty,플레이어가 이미 내 파티에 속해 있습니다. /// This player is already in your party!=2180
UI/BattleUserContextMenuCantInviteMyPartyFull,파티 인원이 가득 찼습니다. /// Your party is full.=2181
UI/BattleUserContextMenuCantInviteOfflineUser,오프라인 플레이어는 초대할 수 없습니다. /// You can't invite offline players.=2182
UI/BattleUserContextMenuCantInvitePending,현재 파티 초대를 수락하거나 거절해야 합니다. /// You must accept or decline your current party invitation.=2183
UI/BattleUserContextMenuCantInviteSelf,자기 자신을 파티로 초대할 수 없습니다.=2184
UI/BattleUserContextMenuCantRequestFullParty,해당 플레이어의 파티 인원이 가득 찼습니다. /// This player's party is full.=2185
UI/BattleUserContextMenuChangePortrait,초상화 변경 /// Change Portrait=2186
UI/BattleUserContextMenuChangeToonName,이름 변경하기 /// Change Name=2187
UI/BattleUserContextMenuCopyProfileLink,링크 복사 /// Copy Link=2188
UI/BattleUserContextMenuDeclineFriend,친구 초대 무시=2189
UI/BattleUserContextMenuFriendNote,친구 메모 설정 /// Set Friend Note=2190
UI/BattleUserContextMenuInviteClan,그룹 옵션 /// Group Options=2191
UI/BattleUserContextMenuInviteGame,게임 초대 /// Invite to Game=2192
UI/BattleUserContextMenuInviteParty,파티 초대 /// Invite to Party=2193
UI/BattleUserContextMenuJoinGame,게임 참가 /// Join Game=2194
UI/BattleUserContextMenuLeaveParty,파티 나가기 /// Leave Party=2195
UI/BattleUserContextMenuLeaveWhisper,귓속말 떠나기 /// Leave Whisper=2196
UI/BattleUserContextMenuLineBreak,=2197
UI/BattleUserContextMenuMuteTalker,음성 차단 /// Mute Voice=2198
UI/BattleUserContextMenuPromoteParty,파티장 위임 /// Promote to Leader=2199
UI/BattleUserContextMenuRemoveFriend,친구 제외 /// Remove Friend=2200
UI/BattleUserContextMenuRemoveParty,파티원 추방 /// Remove From Party=2201
UI/BattleUserContextMenuReport,플레이어 신고 /// Report Player=2202
UI/BattleUserContextMenuRequestToJoin,파티 참가 요청 /// Request to Join Party=2203
UI/BattleUserContextMenuSuggestParty,파티 초대 제안 /// Suggest to Party=2204
UI/BattleUserContextMenuUnblock,차단 해제 /// Unblock=2205
UI/BattleUserContextMenuUnmuteTalker,음성 음소거 해제 /// Unmute Voice=2206
UI/BattleUserContextMenuViewFriends,친구 보기 /// View Friends=2207
UI/BattleUserContextMenuViewProfile,프로필 보기 /// View Profile=2208
UI/BattleUserContextMenuWhisper,대화 /// Chat=2209
UI/BindHotkey,단축키 지정: /// Bind Hotkey:=2210
UI/BitDepth_Colon,비트 심도: /// Bit Depth:=2211
UI/Bits,비트 /// bits=2212
UI/Blob,희미하게 /// Blob=2213
UI/BlockCommunicationAcceptButton,플레이어 차단 /// BLOCK PLAYER=2214
UI/BlockCommunicationConfirmationMessage,%userName% 님으로부터의 모든 대화를 차단하시겠습니까? /// Are you sure you want to block all communication from %userName%?=2215
UI/BlockFriendRequestsConfirmationMessage,%userName% 님으로부터의 친구 요청을 차단하시겠습니까? /// Are you sure you want to block friend requests from %userName%?=2216
UI/BlockedPlayers_Colon,차단된 친구 요청: /// Blocked Friend Requests:=2217
UI/Bloom,분산광 /// Bloom=2218
UI/BonusMission_Control,보너스 임무 /// BONUS MISSION=2219
UI/BoostNotificationPanel/BoostExpired,전투 자극제 만료됨 /// Stimpack Expired=2220
UI/BoostNotificationPanel/BoostExpiring,전투 자극제 만료 중 /// Stimpack Expiring=2221
UI/BoostNotificationPanel/TimeRemaining,남은 시간: %duration% /// Time Remaining: %duration%=2222
UI/Briefing,요약 보고 /// Briefing=2223
UI/Build,건설 /// Build=2224
UI/BuildGridHint_Colon,건설 눈금 표시<sp/> /// Display Build Grid=2225
UI/BuildTime_Colon,생산 시간: /// Build Time:=2226
UI/Build_Colon,건설: /// Build:=2227
UI/Building,건설 중 /// Building=2228
UI/BusyStatus,게임 플레이 중 상태를 "다른 용무 중"으로 설정 /// Set status to busy when playing a game=2229
UI/By,x /// x=2230
UI/Bytes/Bytes,바이트 /// bytes=2231
UI/Bytes/GB,GB /// GB=2232
UI/Bytes/KB,KB /// KB=2233
UI/Bytes/MB,MB /// MB=2234
UI/CIDBlockedPlayers_Colon,차단된 플레이어: /// Blocked Communication:=2235
UI/CIDUnblockTooltip,<c val="ffffff">플레이어 차단 해제:</c><n/>차단 해제한 플레이어들과 다시 대화할 수 있습니다. /// <c val="ffffff">Unblock User:</c><n/>Allow selected user to chat with you again.=2236
UI/CREDITS/GAMEDESIGN,<s val="CreditsSmallHeading_HotS">GAME DESIGN</s></n>Blizzard Entertainment /// <s val="CreditsSmallHeading_HotS">GAME DESIGN</s></n>Blizzard Entertainment=2237
UI/CREDITS/GROUP_1065,ART /// ART=2238
UI/CREDITS/GROUP_1066,LEADERSHIP /// LEADERSHIP=2239
UI/CREDITS/GROUP_1067,BUSINESS OPERATIONS /// BUSINESS OPERATIONS=2240
UI/CREDITS/GROUP_1068,DESIGN /// DESIGN=2241
UI/CREDITS/GROUP_1069,ENGINEERING /// ENGINEERING=2242
UI/CREDITS/GROUP_1070,PRODUCTION /// PRODUCTION=2243
UI/CREDITS/GROUP_1071,SUPPORT /// SUPPORT=2244
UI/CREDITS/GROUP_1072,TESTING /// TESTING=2245
UI/CREDITS/GROUP_1073,ADDITIONAL DEVELOPMENT /// ADDITIONAL DEVELOPMENT=2246
UI/CREDITS/GROUP_1074,SOUND /// SOUND=2247
UI/CREDITS/GROUP_1076,STORY & FRANCHISE DEVELOPMENT /// STORY & FRANCHISE DEVELOPMENT=2248
UI/CREDITS/GROUP_1077,CUSTOMER SUPPORT & SERVICE TECHNOLOGIES /// CUSTOMER SUPPORT & SERVICE TECHNOLOGIES=2249
UI/CREDITS/GROUP_1078,FINANCE /// FINANCE=2250
UI/CREDITS/GROUP_1079,HUMAN RESOURCES & INTERNAL COMMUNICATIONS /// HUMAN RESOURCES & INTERNAL COMMUNICATIONS=2251
UI/CREDITS/GROUP_1080,LEGAL /// LEGAL=2252
UI/CREDITS/GROUP_1081,QUALITY ASSURANCE & LOCALIZATION /// QUALITY ASSURANCE & LOCALIZATION=2253
UI/CREDITS/GROUP_1082,BUSINESS DEVELOPMENT & CORPORATE ALLIANCES /// BUSINESS DEVELOPMENT & CORPORATE ALLIANCES=2254
UI/CREDITS/GROUP_1083,INTERNATIONAL PUBLISHING & OPERATIONS MANAGEMENT /// INTERNATIONAL PUBLISHING & OPERATIONS MANAGEMENT=2255
UI/CREDITS/GROUP_1084,EXECUTIVE TEAM /// EXECUTIVE TEAM=2256
UI/CREDITS/GROUP_1085,INTEGRATED MARKETING /// INTEGRATED MARKETING=2257
UI/CREDITS/GROUP_1086,ESPORTS /// ESPORTS=2258
UI/CREDITS/GROUP_1087,WEB & MOBILE /// WEB & MOBILE=2259
UI/CREDITS/GROUP_1088,VAULT /// VAULT=2260
UI/CREDITS/GROUP_1089,INTERNS & CONTRACTORS /// INTERNS & CONTRACTORS=2261
UI/CREDITS/GROUP_1090,BUSINESS INTELLIGENCE & RISK /// BUSINESS INTELLIGENCE & RISK=2262
UI/CREDITS/GROUP_1091,FACILITIES & PURCHASING /// FACILITIES & PURCHASING=2263
UI/CREDITS/GROUP_1092,TECHNOLOGY, STRATEGY, & PLANNING /// TECHNOLOGY, STRATEGY, & PLANNING=2264
UI/CREDITS/GROUP_1093,BATTLE.NET /// BATTLE.NET=2265
UI/CREDITS/GROUP_1094,INFORMATION TECHNOLOGY /// INFORMATION TECHNOLOGY=2266
UI/CREDITS/GROUP_1095,Security /// Security=2267
UI/CREDITS/GROUP_1096,Strategy & Planning /// Strategy & Planning=2268
UI/CREDITS/GROUP_1097,Information Systems /// Information Systems=2269
UI/CREDITS/GROUP_1098,Service Engineering /// Service Engineering=2270
UI/CREDITS/GROUP_1099,Infrastructure Engineering /// Infrastructure Engineering=2271
UI/CREDITS/GROUP_1100,Operations Center /// Operations Center=2272
UI/CREDITS/GROUP_1101,Program Management Office /// Program Management Office=2273
UI/CREDITS/GROUP_1102,Database Administration /// Database Administration=2274
UI/CREDITS/GROUP_1103,Service Intelligence /// Service Intelligence=2275
UI/CREDITS/GROUP_1104,Corporate Applications /// Corporate Applications=2276
UI/CREDITS/GROUP_1742,ART /// ART=2277
UI/CREDITS/GROUP_1743,BUSINESS OPERATIONS /// BUSINESS OPERATIONS=2278
UI/CREDITS/GROUP_1744,LEADERSHIP /// LEADERSHIP=2279
UI/CREDITS/GROUP_1745,ENGINEERING /// ENGINEERING=2280
UI/CREDITS/GROUP_1746,DESIGN /// DESIGN=2281
UI/CREDITS/GROUP_1747,PRODUCTION /// PRODUCTION=2282
UI/CREDITS/GROUP_1748,SUPPORT /// SUPPORT=2283
UI/CREDITS/GROUP_1749,SOUND /// SOUND=2284
UI/CREDITS/GROUP_1750,ADDITIONAL DEVELOPMENT /// ADDITIONAL DEVELOPMENT=2285
UI/CREDITS/GROUP_1751,TESTING /// TESTING=2286
